indicator,sheet,"Chart SF1.1.A. Average size of households by household type, 2024a","Data for Chart SF1.1.A. Average size of households by household type, 2024a",Unnamed: 13,Unnamed: 14,Unnamed: 15,"Table SF1.1.A. Types of household, 2021a",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 10,Unnamed: 12,"Table SF1.1.B. Households by number of children, 2024a",Unnamed: 5,"Chart SF1.2.A. Living arrangements of children, 2023a",Unnamed: 11,Unnamed: 16,Unnamed: 17,"Chart SF1.2.B. Trends in the living arrangements of children, 2005 to 2023","Chart SF1.2.C. Trends in children living with cohabiting parents, 2007 and 2023a",Distribution of children by the presence and marital status of parents,Unnamed: 1,Unnamed: 9,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 0,Table SF1.3.A. Living arrangements of children by age,Table SF1.3.B. Living arrangements of children by relative income poverty status,Table SF1.3.C: Living arrangements of children by mother's level of educational attainment,"Table SF1.3.D: Living arrangements of young adolescents, 2013-14","Chart SF1.4.A. Child and young adult population, 2023","Data for Chart SF1.4.A. Child and young adult population, 2023","Chart SF1.4.B. Age distribution of children and young adults, 2023","Data for Chart SF1.4.B. Age distribution of children and young adults, 2023","Chart SF1.4.C. Trends in the child population, selected OECD countries","Data for Chart SF1.4.C. Trends in child population, selected OECD countries","Chart SF1.4.D. Youth dependency ratio, 1990 and 2023","Data for Chart SF1.4.A. Youth dependency ratio, 1990 and 2023","Chart SF1.4.E. Estimated (1960-2023) and projected (2024-2060) youth dependency ratios, selected OECD countries","Data for Chart SF1.4.E. Estimated (1960-2023) and projected (2024-2060) youth dependency ratios, selected OECD countries",Child and youth population,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Age distribution of children and young people,Unnamed: 36,Unnamed: 37,Youth dependency ratio,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,"Chart SF1.5.A. Children in overcrowded households, 2017","Chart SF1.5.B. Children in households that lack basic facilities, 2017","Chart SF1.5.C. Children living in areas with environmental problems, 2017","Table SF1.5.A. Children in overcrowded households, 2017","Table SF1.5.B. Children in households that lack basic facilities, 2017","Table SF1.5.C. Children living in areas with environmental problems, 2017"
SF_1_1_Family_size_and_composition,Table SF1.1.B,,,,,,,,,,,,,,,"d) For Mexico, 'children' refers to children aged under 15, only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Table SF1.1.B,,,,,,,,,,,,,,,"e) For New Zealand, 'children' refers to dependent children aged under 18 and not employed full-time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Table SF1.1.B,,,,,,,,,,,,,,,Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Table SF1.1.B,,,,,,,,,,,,,,,"for Costa Rica, OECD Questionnaire to national authorities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Table SF1.1.B,,,,,,,,,,,,,,,"for European countries, Eurostat based on the European Union Labour Force Survey (unless otherwise stated)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Table SF1.1.B,,,,,,,,,,,,,,,"for Japan, Comprehensive Survey of Living Conditions 2023 (Households by number of children) and 2020 Population Census (Households with children under age 6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Table SF1.1.B,,,,,,,,,,,,,,,"for Korea, Statistics Korea, 2023 Population and Housing Census (Register-based Census)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Table SF1.1.B,,,,,,,,,,,,,,,"for Mexico, Census of Population and Housing 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Table SF1.1.B,,,,,,,,,,,,,,,"for New Zealand, 2023 Census of Population and Dwellings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,,,,,,,,,,,,,,,Distribution (%) of children (aged 0-17b) by presence and marital status of parents in the householdc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,Two married parents,Two cohabiting parents,Living with a single parent,,,,,,,,,Living with two parents (unspecified) (↘),,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,92.1,1,6.5,,,,,,,,,93.1,,,,Greece,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,92.4,0,6.9,,,,,,,,,92.4,,,,Türkiye,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,58,33,8.3,,,,,,,,,91,,,,Poland,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,88,2.7,8.5,,,,,,,,,90.7,,,,Croatia,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,..,..,8.62033041967425,,,,,,,,,90.68001182796071,,,,Korea (f),0.6996577523650309,90.68001182796071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,58.4,31.8,9.5,,,,,,,,,90.2,,,,Slovenia,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,72.8,16.6,10.1,,,,,,,,,89.4,,,,Austria,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,86.3,2.4,11,,,,,,,,,88.7,,,,Cyprus,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,82.3,5.3,11,,,,,,,,,87.6,,,,Romania,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,..,..,13.381506502835375,,,,,,,,,86.4569425818054,,,,Japan,0.16155091535923338,86.4569425818054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,79.1,6.8,13.7,,,,,,,,,85.89999999999999,,,,Luxembourg,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,67.4,18.4,13.9,,,,,,,,,85.80000000000001,,,,Netherlands,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,54.2,31.2,14.1,,,,,,,,,85.4,,,,Estonia,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,76.5,8.8,14,,,,,,,,,85.3,,,"a) Data for Australia refer to 2012, for the United Kingdom to 2018, for Iceland to 2019, for Japan, Korea ,and Mexico to 2020, and for Canada to 2021. ",Italy,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,76,9.1,14.2,,,,,,,,,85.1,,,,Slovak Republic,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,66.8,18.2,14.2,,,,,,,,,85,,,"b) For Korea, children aged 0-12, and for Mexico, children aged 0-14",Czechia,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,75.2,9.1,14.9,,,,,,,,,84.3,,,"c) 'Parents' generally refers to both biological parents and step-, adoptive parents. 'Living with two married parents' refers to situations where a child lives in a household with two adults that are considered parents and these parents are married to each other. 'Living with two cohabiting parents' refers to situations where a child lives in a household with two adults that are considered parents and these parents are not married to each other. 'Living with a single parent' refers to situations where a child lives in a household with only one adult that is considered a parent. 'Other' refers to a situation where the child lives in a household where no adult is considered a parent. ",Switzerland,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,70.8,12.7,15.8,,,,,,,,,83.5,,,,Spain,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,67.43928571428572,15.52142857142857,16.289285714285715,,,,,,,,,82.96071428571427,,,,EU average,0.7607142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,65.92911564405446,16.06838912335975,16.89379880834748,,,,,,,,,82.07842324206891,,,,OECD average,1.0338385556442327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,64,17.9,17.6,,,,,,,,,81.9,,,,Denmark,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,58.8,22.9,17.2,,,,,,,,,81.69999999999999,,,"d) For Australia, 'living with two parents' refers to children living in all types of 'couple' family, including 'intact' couple families (that is, a couple family containing at least one child aged 0-17 years who is the natural or adopted child of both members of the couple, and no child aged 0-17 years who is the step child of either member of the couple), 'step' couple families (that is, a couple family containing one or more children aged 0-17 years, none of whom is the natural or adopted child of both members of the couple, and at least one of whom is the step child of either member of the couple) and 'blended' couple families (that is, a couple family containing two or more children aged 0-17 years, of whom at least one is the natural or adopted child of both members of the couple, and at least one is the step child of either member of the couple). 'Living with a single parent' refers to children living in a one parent families, that is, a family consisting of a lone parent with at least one dependent or non-dependent child (regardless of age) who is also usually resident in the household.",Portugal,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,70.4,11,18.4,,,,,,,,,81.4,,,,Malta,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,..,..,18.039745321242524,,,,,,,,,81.34285163032993,,,,Australia (d),0.6174030484275516,81.34285163032993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,71.9,9.4,18.5,,,,,,,,,81.30000000000001,,,,Germany,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,72.1,9.1,17.9,,,,,,,,,81.19999999999999,,,,Ireland,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,64.8,15.7,18.6,,,,,,,,,80.5,,,,Hungary,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,55.3,25,18.7,,,,,,,,,80.3,,,,Iceland,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,63.3,16.3,19.5,,,,,,,,,79.6,,,"e) For Canada, 'living with two parents' refers to children living in families 'with two parents present'. 'Living with two married parents' refers to those living in two-parent married couple families, and  'living with two cohabiting parents' refers to those living in two-parent common-law couple families. 'Living with one parent' refers to children living in families 'with one parent present'.",Finland,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,55.2,24.3,20.1,,,,,,,,,79.5,,,,Belgium,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,61.7343460698608,17.668041476250117,19.10036888730539,,,,,,,,,79.40238754611092,,,,Canada (e) ,1.4972435665836996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,64.9,13.2,20.8,,,,,,,,,78.10000000000001,,,,United Kingdom,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,64.4,12.7,21.2,,,,,,,,,77.10000000000001,,,"f) For Korea and Mexico, proportion among valid cases (i.e. cases with missing information on the presence of parents in the household are excluded from the calculation).",Latvia,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,50.8,26.1,21.9,,,,,,,,,76.9,,,,Sweden,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,48.6,27.5,21.6,,,,,,,,,76.1,,,,Bulgaria,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,49.1,23.5,26.6,,,,,,,,,72.6,,,Sources:,France,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,..,..,23.761771118515597,,,,,,,,,72.18052269316532,,,"for European countries and Türkiye, Eurostat",Mexico (f),4.057706188319095,72.18052269316532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,47.9,24.1,23.4,,,,,,,,,72,,,"for Australia, Australian Bureau of Statistics",Norway,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,66.71000760771838,4.4152431011826545,25.09163842589391,,,,,,,,,71.12525070890104,,,"for Canada, Statistics Canda",United States,3.7831108652050625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,61.3,7,31.4,,,,,,,,,68.3,,,"for Japan, Statistics Japan",Lithuania,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,,,,,,,,,,,,,,,"for Korea, KOSIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,,,,,,,,,,,,,,,"for Mexico, INEGI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.A,,,,,,,,,,,,,,,,,"for the United States, US Census Bureau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.B,,,,,,,,,,,,,,,,,,,,,OECD-22 unweighted averagea distribution of children by presence and marital status of parents in the householdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.B,,,Two cohabiting parents,Sole parent,,,,,,,,,,Two married parents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.B,,,9.213636363636365,16.745454545454546,,,,,,,,,,72.89090909090909,,,,2005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.B,,,9.513636363636364,16.636363636363633,,,,,,,,,,72.5409090909091,,,,2006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.B,,,10.03181818181818,16.722727272727273,,,,,,,,,,71.94999999999999,,,,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.B,,,10.750000000000002,16.168181818181818,,,,,,,,,,71.87272727272727,,,,2008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.B,,,11.386363636363638,16.577272727272724,,,,,,,,,,70.82727272727274,,,,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_2_Children_in_families,Chart SF1.2.B,,,11.981818181818182,17.072727272727278,,,,,,,,,,69.57727272727271,,,,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
