country,year,indicator,category,sex,unit,value,source
Greece,2006,share_of_previous_marital_status,Single never married,all,%,87.6,OECD
Greece,2006,share_of_previous_marital_status,Divorced,all,%,11.6,OECD
Greece,2006,share_of_previous_marital_status,Widowed,all,%,0.9,OECD
Hungary,2006,share_of_previous_marital_status,Single never married,all,%,78.3,OECD
Hungary,2006,share_of_previous_marital_status,Divorced,all,%,20.4,OECD
Hungary,2006,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
Lithuania,2006,share_of_previous_marital_status,Single never married,all,%,77.5,OECD
Lithuania,2006,share_of_previous_marital_status,Divorced,all,%,20.5,OECD
Lithuania,2006,share_of_previous_marital_status,Widowed,all,%,2.0,OECD
Luxembourg,2006,share_of_previous_marital_status,Single never married,all,%,74.5,OECD
Luxembourg,2006,share_of_previous_marital_status,Divorced,all,%,24.4,OECD
Luxembourg,2006,share_of_previous_marital_status,Widowed,all,%,1.0,OECD
New Zealand,2006,share_of_previous_marital_status,Single never married,all,%,75.0,OECD
New Zealand,2006,share_of_previous_marital_status,Divorced,all,%,22.6,OECD
New Zealand,2006,share_of_previous_marital_status,Widowed,all,%,2.3,OECD
Poland,2006,share_of_previous_marital_status,Single never married,all,%,89.9,OECD
Poland,2006,share_of_previous_marital_status,Divorced,all,%,8.3,OECD
Poland,2006,share_of_previous_marital_status,Widowed,all,%,1.8,OECD
Portugal,2006,share_of_previous_marital_status,Single never married,all,%,86.0,OECD
Portugal,2006,share_of_previous_marital_status,Divorced,all,%,12.8,OECD
Portugal,2006,share_of_previous_marital_status,Widowed,all,%,1.2,OECD
Slovak Republic,2006,share_of_previous_marital_status,Single never married,all,%,86.4,OECD
Slovak Republic,2006,share_of_previous_marital_status,Divorced,all,%,13.0,OECD
Slovak Republic,2006,share_of_previous_marital_status,Widowed,all,%,0.7,OECD
Slovenia,2006,share_of_previous_marital_status,Single never married,all,%,90.2,OECD
Slovenia,2006,share_of_previous_marital_status,Divorced,all,%,8.6,OECD
Slovenia,2006,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
Spain,2006,share_of_previous_marital_status,Single never married,all,%,89.9,OECD
Spain,2006,share_of_previous_marital_status,Divorced,all,%,9.3,OECD
Spain,2006,share_of_previous_marital_status,Widowed,all,%,0.7,OECD
Sweden,2006,share_of_previous_marital_status,Single never married,all,%,78.7,OECD
Sweden,2006,share_of_previous_marital_status,Divorced,all,%,20.3,OECD
Sweden,2006,share_of_previous_marital_status,Widowed,all,%,1.0,OECD
Switzerland,2006,share_of_previous_marital_status,Single never married,all,%,77.1,OECD
Switzerland,2006,share_of_previous_marital_status,Divorced,all,%,21.8,OECD
Switzerland,2006,share_of_previous_marital_status,Widowed,all,%,1.1,OECD
Bulgaria,2006,share_of_previous_marital_status,Single never married,all,%,87.8,OECD
Bulgaria,2006,share_of_previous_marital_status,Divorced,all,%,11.3,OECD
Bulgaria,2006,share_of_previous_marital_status,Widowed,all,%,0.9,OECD
Croatia,2006,share_of_previous_marital_status,Single never married,all,%,91.0,OECD
Croatia,2006,share_of_previous_marital_status,Divorced,all,%,7.7,OECD
Croatia,2006,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
Romania,2006,share_of_previous_marital_status,Single never married,all,%,84.7,OECD
Romania,2006,share_of_previous_marital_status,Divorced,all,%,13.8,OECD
Romania,2006,share_of_previous_marital_status,Widowed,all,%,1.5,OECD
Australia,2008,share_of_previous_marital_status,Single never married,all,%,78.2,OECD
Australia,2008,share_of_previous_marital_status,Divorced,all,%,20.2,OECD
Australia,2008,share_of_previous_marital_status,Widowed,all,%,1.7,OECD
Austria,2008,share_of_previous_marital_status,Single never married,all,%,74.8,OECD
Austria,2008,share_of_previous_marital_status,Divorced,all,%,24.2,OECD
Austria,2008,share_of_previous_marital_status,Widowed,all,%,1.0,OECD
Czechia,2008,share_of_previous_marital_status,Single never married,all,%,72.6,OECD
Czechia,2008,share_of_previous_marital_status,Divorced,all,%,26.1,OECD
Czechia,2008,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
Denmark,2008,share_of_previous_marital_status,Single never married,all,%,76.3,OECD
Denmark,2008,share_of_previous_marital_status,Divorced,all,%,21.8,OECD
Denmark,2008,share_of_previous_marital_status,Widowed,all,%,1.9,OECD
Finland,2008,share_of_previous_marital_status,Single never married,all,%,77.0,OECD
Finland,2008,share_of_previous_marital_status,Divorced,all,%,21.7,OECD
Finland,2008,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
Greece,2008,share_of_previous_marital_status,Single never married,all,%,87.9,OECD
Greece,2008,share_of_previous_marital_status,Divorced,all,%,11.2,OECD
Greece,2008,share_of_previous_marital_status,Widowed,all,%,0.8,OECD
Hungary,2008,share_of_previous_marital_status,Single never married,all,%,77.6,OECD
Hungary,2008,share_of_previous_marital_status,Divorced,all,%,21.0,OECD
Hungary,2008,share_of_previous_marital_status,Widowed,all,%,1.4,OECD
Lithuania,2008,share_of_previous_marital_status,Single never married,all,%,77.3,OECD
Lithuania,2008,share_of_previous_marital_status,Divorced,all,%,21.0,OECD
Lithuania,2008,share_of_previous_marital_status,Widowed,all,%,1.7,OECD
Luxembourg,2008,share_of_previous_marital_status,Single never married,all,%,75.9,OECD
Luxembourg,2008,share_of_previous_marital_status,Divorced,all,%,23.1,OECD
Luxembourg,2008,share_of_previous_marital_status,Widowed,all,%,1.0,OECD
New Zealand,2008,share_of_previous_marital_status,Single never married,all,%,76.4,OECD
New Zealand,2008,share_of_previous_marital_status,Divorced,all,%,21.3,OECD
New Zealand,2008,share_of_previous_marital_status,Widowed,all,%,2.4,OECD
Poland,2008,share_of_previous_marital_status,Single never married,all,%,89.4,OECD
Poland,2008,share_of_previous_marital_status,Divorced,all,%,1.7,OECD
Poland,2008,share_of_previous_marital_status,Widowed,all,%,8.9,OECD
Portugal,2008,share_of_previous_marital_status,Single never married,all,%,84.0,OECD
Portugal,2008,share_of_previous_marital_status,Divorced,all,%,14.9,OECD
Portugal,2008,share_of_previous_marital_status,Widowed,all,%,1.2,OECD
Slovak Republic,2008,share_of_previous_marital_status,Single never married,all,%,86.3,OECD
Slovak Republic,2008,share_of_previous_marital_status,Divorced,all,%,13.0,OECD
Slovak Republic,2008,share_of_previous_marital_status,Widowed,all,%,0.7,OECD
Slovenia,2008,share_of_previous_marital_status,Single never married,all,%,90.5,OECD
Slovenia,2008,share_of_previous_marital_status,Divorced,all,%,8.5,OECD
Slovenia,2008,share_of_previous_marital_status,Widowed,all,%,1.1,OECD
Spain,2008,share_of_previous_marital_status,Single never married,all,%,88.3,OECD
Spain,2008,share_of_previous_marital_status,Divorced,all,%,11.0,OECD
Spain,2008,share_of_previous_marital_status,Widowed,all,%,0.7,OECD
Sweden,2008,share_of_previous_marital_status,Single never married,all,%,78.4,OECD
Sweden,2008,share_of_previous_marital_status,Divorced,all,%,20.6,OECD
Sweden,2008,share_of_previous_marital_status,Widowed,all,%,1.0,OECD
Switzerland,2008,share_of_previous_marital_status,Single never married,all,%,77.3,OECD
Switzerland,2008,share_of_previous_marital_status,Divorced,all,%,21.6,OECD
Switzerland,2008,share_of_previous_marital_status,Widowed,all,%,1.1,OECD
Bulgaria,2008,share_of_previous_marital_status,Single never married,all,%,88.6,OECD
Bulgaria,2008,share_of_previous_marital_status,Divorced,all,%,10.6,OECD
Bulgaria,2008,share_of_previous_marital_status,Widowed,all,%,0.8,OECD
Croatia,2008,share_of_previous_marital_status,Single never married,all,%,91.4,OECD
Croatia,2008,share_of_previous_marital_status,Divorced,all,%,7.5,OECD
Croatia,2008,share_of_previous_marital_status,Widowed,all,%,1.1,OECD
Romania,2008,share_of_previous_marital_status,Single never married,all,%,85.6,OECD
Romania,2008,share_of_previous_marital_status,Divorced,all,%,13.0,OECD
Romania,2008,share_of_previous_marital_status,Widowed,all,%,1.4,OECD
Australia,2009,share_of_previous_marital_status,Single never married,all,%,79.0,OECD
Australia,2009,share_of_previous_marital_status,Divorced,all,%,19.5,OECD
Australia,2009,share_of_previous_marital_status,Widowed,all,%,1.6,OECD
Austria,2009,share_of_previous_marital_status,Single never married,all,%,75.6,OECD
Austria,2009,share_of_previous_marital_status,Divorced,all,%,23.5,OECD
Austria,2009,share_of_previous_marital_status,Widowed,all,%,0.9,OECD
Czechia,2009,share_of_previous_marital_status,Single never married,all,%,73.2,OECD
Czechia,2009,share_of_previous_marital_status,Divorced,all,%,25.5,OECD
Czechia,2009,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
Denmark,2009,share_of_previous_marital_status,Single never married,all,%,76.6,OECD
Denmark,2009,share_of_previous_marital_status,Divorced,all,%,21.6,OECD
Denmark,2009,share_of_previous_marital_status,Widowed,all,%,1.8,OECD
Finland,2009,share_of_previous_marital_status,Single never married,all,%,76.7,OECD
Finland,2009,share_of_previous_marital_status,Divorced,all,%,22.0,OECD
Finland,2009,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
Greece,2009,share_of_previous_marital_status,Single never married,all,%,88.3,OECD
Greece,2009,share_of_previous_marital_status,Divorced,all,%,10.9,OECD
Greece,2009,share_of_previous_marital_status,Widowed,all,%,0.8,OECD
Hungary,2009,share_of_previous_marital_status,Single never married,all,%,77.0,OECD
Hungary,2009,share_of_previous_marital_status,Divorced,all,%,21.5,OECD
Hungary,2009,share_of_previous_marital_status,Widowed,all,%,1.5,OECD
Lithuania,2009,share_of_previous_marital_status,Single never married,all,%,78.9,OECD
Lithuania,2009,share_of_previous_marital_status,Divorced,all,%,19.6,OECD
Lithuania,2009,share_of_previous_marital_status,Widowed,all,%,1.5,OECD
Luxembourg,2009,share_of_previous_marital_status,Single never married,all,%,74.4,OECD
Luxembourg,2009,share_of_previous_marital_status,Divorced,all,%,24.6,OECD
Luxembourg,2009,share_of_previous_marital_status,Widowed,all,%,1.1,OECD
New Zealand,2009,share_of_previous_marital_status,Single never married,all,%,77.3,OECD
New Zealand,2009,share_of_previous_marital_status,Divorced,all,%,20.3,OECD
New Zealand,2009,share_of_previous_marital_status,Widowed,all,%,2.4,OECD
Poland,2009,share_of_previous_marital_status,Single never married,all,%,89.4,OECD
Poland,2009,share_of_previous_marital_status,Divorced,all,%,8.9,OECD
Poland,2009,share_of_previous_marital_status,Widowed,all,%,1.7,OECD
Portugal,2009,share_of_previous_marital_status,Single never married,all,%,82.7,OECD
Portugal,2009,share_of_previous_marital_status,Divorced,all,%,16.2,OECD
Portugal,2009,share_of_previous_marital_status,Widowed,all,%,1.2,OECD
Slovak Republic,2009,share_of_previous_marital_status,Single never married,all,%,86.7,OECD
Slovak Republic,2009,share_of_previous_marital_status,Divorced,all,%,12.6,OECD
Slovak Republic,2009,share_of_previous_marital_status,Widowed,all,%,0.6,OECD
Slovenia,2009,share_of_previous_marital_status,Single never married,all,%,89.9,OECD
Slovenia,2009,share_of_previous_marital_status,Divorced,all,%,8.9,OECD
Slovenia,2009,share_of_previous_marital_status,Widowed,all,%,1.1,OECD
Spain,2009,share_of_previous_marital_status,Single never married,all,%,86.8,OECD
Spain,2009,share_of_previous_marital_status,Divorced,all,%,12.3,OECD
Spain,2009,share_of_previous_marital_status,Widowed,all,%,0.8,OECD
Sweden,2009,share_of_previous_marital_status,Single never married,all,%,78.5,OECD
Sweden,2009,share_of_previous_marital_status,Divorced,all,%,20.5,OECD
Sweden,2009,share_of_previous_marital_status,Widowed,all,%,1.0,OECD
Switzerland,2009,share_of_previous_marital_status,Single never married,all,%,77.8,OECD
Switzerland,2009,share_of_previous_marital_status,Divorced,all,%,21.2,OECD
Switzerland,2009,share_of_previous_marital_status,Widowed,all,%,1.1,OECD
Bulgaria,2009,share_of_previous_marital_status,Single never married,all,%,88.8,OECD
Bulgaria,2009,share_of_previous_marital_status,Divorced,all,%,10.4,OECD
Bulgaria,2009,share_of_previous_marital_status,Widowed,all,%,0.8,OECD
Croatia,2009,share_of_previous_marital_status,Single never married,all,%,91.6,OECD
Croatia,2009,share_of_previous_marital_status,Divorced,all,%,7.4,OECD
Croatia,2009,share_of_previous_marital_status,Widowed,all,%,1.0,OECD
Romania,2009,share_of_previous_marital_status,Single never married,all,%,86.8,OECD
Romania,2009,share_of_previous_marital_status,Divorced,all,%,12.1,OECD
Romania,2009,share_of_previous_marital_status,Widowed,all,%,1.2,OECD
Australia,2010,share_of_previous_marital_status,Single never married,all,%,79.6,OECD
Australia,2010,share_of_previous_marital_status,Divorced,all,%,19.0,OECD
Australia,2010,share_of_previous_marital_status,Widowed,all,%,1.5,OECD
Austria,2010,share_of_previous_marital_status,Single never married,all,%,75.5,OECD
Austria,2010,share_of_previous_marital_status,Divorced,all,%,23.5,OECD
Austria,2010,share_of_previous_marital_status,Widowed,all,%,1.0,OECD
Czechia,2010,share_of_previous_marital_status,Single never married,all,%,74.0,OECD
Czechia,2010,share_of_previous_marital_status,Divorced,all,%,24.9,OECD
Czechia,2010,share_of_previous_marital_status,Widowed,all,%,1.2,OECD
Denmark,2010,share_of_previous_marital_status,Single never married,all,%,77.2,OECD
Denmark,2010,share_of_previous_marital_status,Divorced,all,%,21.0,OECD
Denmark,2010,share_of_previous_marital_status,Widowed,all,%,1.8,OECD
Finland,2010,share_of_previous_marital_status,Single never married,all,%,77.3,OECD
Finland,2010,share_of_previous_marital_status,Divorced,all,%,21.4,OECD
Finland,2010,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
Greece,2010,share_of_previous_marital_status,Single never married,all,%,88.2,OECD
Greece,2010,share_of_previous_marital_status,Divorced,all,%,11.1,OECD
Greece,2010,share_of_previous_marital_status,Widowed,all,%,0.7,OECD
Hungary,2010,share_of_previous_marital_status,Single never married,all,%,76.6,OECD
Hungary,2010,share_of_previous_marital_status,Divorced,all,%,21.9,OECD
Hungary,2010,share_of_previous_marital_status,Widowed,all,%,1.4,OECD
Lithuania,2010,share_of_previous_marital_status,Single never married,all,%,79.3,OECD
Lithuania,2010,share_of_previous_marital_status,Divorced,all,%,19.1,OECD
Lithuania,2010,share_of_previous_marital_status,Widowed,all,%,1.6,OECD
Luxembourg,2010,share_of_previous_marital_status,Single never married,all,%,76.2,OECD
Luxembourg,2010,share_of_previous_marital_status,Divorced,all,%,22.6,OECD
Luxembourg,2010,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
New Zealand,2010,share_of_previous_marital_status,Single never married,all,%,77.9,OECD
New Zealand,2010,share_of_previous_marital_status,Divorced,all,%,19.9,OECD
New Zealand,2010,share_of_previous_marital_status,Widowed,all,%,2.2,OECD
Poland,2010,share_of_previous_marital_status,Single never married,all,%,89.3,OECD
Poland,2010,share_of_previous_marital_status,Divorced,all,%,9.1,OECD
Poland,2010,share_of_previous_marital_status,Widowed,all,%,1.6,OECD
Portugal,2010,share_of_previous_marital_status,Single never married,all,%,82.0,OECD
Portugal,2010,share_of_previous_marital_status,Divorced,all,%,16.8,OECD
Portugal,2010,share_of_previous_marital_status,Widowed,all,%,1.2,OECD
Slovak Republic,2010,share_of_previous_marital_status,Single never married,all,%,87.0,OECD
Slovak Republic,2010,share_of_previous_marital_status,Divorced,all,%,12.3,OECD
Slovak Republic,2010,share_of_previous_marital_status,Widowed,all,%,0.7,OECD
Slovenia,2010,share_of_previous_marital_status,Single never married,all,%,89.3,OECD
Slovenia,2010,share_of_previous_marital_status,Divorced,all,%,7.8,OECD
Slovenia,2010,share_of_previous_marital_status,Widowed,all,%,2.8,OECD
Spain,2010,share_of_previous_marital_status,Single never married,all,%,85.9,OECD
Spain,2010,share_of_previous_marital_status,Divorced,all,%,13.3,OECD
Spain,2010,share_of_previous_marital_status,Widowed,all,%,0.8,OECD
Sweden,2010,share_of_previous_marital_status,Single never married,all,%,78.9,OECD
Sweden,2010,share_of_previous_marital_status,Divorced,all,%,20.1,OECD
Sweden,2010,share_of_previous_marital_status,Widowed,all,%,1.0,OECD
Switzerland,2010,share_of_previous_marital_status,Single never married,all,%,78.1,OECD
Switzerland,2010,share_of_previous_marital_status,Divorced,all,%,21.0,OECD
Switzerland,2010,share_of_previous_marital_status,Widowed,all,%,1.0,OECD
Bulgaria,2010,share_of_previous_marital_status,Single never married,all,%,88.0,OECD
Bulgaria,2010,share_of_previous_marital_status,Divorced,all,%,11.1,OECD
Bulgaria,2010,share_of_previous_marital_status,Widowed,all,%,0.8,OECD
Croatia,2010,share_of_previous_marital_status,Single never married,all,%,91.4,OECD
Croatia,2010,share_of_previous_marital_status,Divorced,all,%,7.6,OECD
Croatia,2010,share_of_previous_marital_status,Widowed,all,%,1.0,OECD
Romania,2010,share_of_previous_marital_status,Single never married,all,%,86.5,OECD
Romania,2010,share_of_previous_marital_status,Divorced,all,%,12.4,OECD
Romania,2010,share_of_previous_marital_status,Widowed,all,%,1.1,OECD
Australia,2011,share_of_previous_marital_status,Single never married,all,%,79.7,OECD
Australia,2011,share_of_previous_marital_status,Divorced,all,%,18.8,OECD
Australia,2011,share_of_previous_marital_status,Widowed,all,%,1.5,OECD
Austria,2011,share_of_previous_marital_status,Single never married,all,%,75.7,OECD
Austria,2011,share_of_previous_marital_status,Divorced,all,%,23.4,OECD
Austria,2011,share_of_previous_marital_status,Widowed,all,%,0.9,OECD
Czechia,2011,share_of_previous_marital_status,Single never married,all,%,74.0,OECD
Czechia,2011,share_of_previous_marital_status,Divorced,all,%,24.9,OECD
Czechia,2011,share_of_previous_marital_status,Widowed,all,%,1.1,OECD
Denmark,2011,share_of_previous_marital_status,Single never married,all,%,76.0,OECD
Denmark,2011,share_of_previous_marital_status,Divorced,all,%,22.1,OECD
Denmark,2011,share_of_previous_marital_status,Widowed,all,%,1.9,OECD
Finland,2011,share_of_previous_marital_status,Single never married,all,%,76.3,OECD
Finland,2011,share_of_previous_marital_status,Divorced,all,%,22.4,OECD
Finland,2011,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
Greece,2011,share_of_previous_marital_status,Single never married,all,%,88.6,OECD
Greece,2011,share_of_previous_marital_status,Divorced,all,%,10.8,OECD
Greece,2011,share_of_previous_marital_status,Widowed,all,%,0.7,OECD
Hungary,2011,share_of_previous_marital_status,Single never married,all,%,75.8,OECD
Hungary,2011,share_of_previous_marital_status,Divorced,all,%,22.7,OECD
Hungary,2011,share_of_previous_marital_status,Widowed,all,%,1.5,OECD
Lithuania,2011,share_of_previous_marital_status,Single never married,all,%,78.2,OECD
Lithuania,2011,share_of_previous_marital_status,Divorced,all,%,20.2,OECD
Lithuania,2011,share_of_previous_marital_status,Widowed,all,%,1.6,OECD
Luxembourg,2011,share_of_previous_marital_status,Single never married,all,%,77.9,OECD
Luxembourg,2011,share_of_previous_marital_status,Divorced,all,%,20.9,OECD
Luxembourg,2011,share_of_previous_marital_status,Widowed,all,%,1.2,OECD
New Zealand,2011,share_of_previous_marital_status,Single never married,all,%,78.0,OECD
New Zealand,2011,share_of_previous_marital_status,Divorced,all,%,19.8,OECD
New Zealand,2011,share_of_previous_marital_status,Widowed,all,%,2.2,OECD
Poland,2011,share_of_previous_marital_status,Single never married,all,%,88.7,OECD
Poland,2011,share_of_previous_marital_status,Divorced,all,%,9.6,OECD
Poland,2011,share_of_previous_marital_status,Widowed,all,%,1.7,OECD
Portugal,2011,share_of_previous_marital_status,Single never married,all,%,80.6,OECD
Portugal,2011,share_of_previous_marital_status,Divorced,all,%,18.3,OECD
Portugal,2011,share_of_previous_marital_status,Widowed,all,%,1.1,OECD
Slovak Republic,2011,share_of_previous_marital_status,Single never married,all,%,86.6,OECD
Slovak Republic,2011,share_of_previous_marital_status,Divorced,all,%,12.7,OECD
Slovak Republic,2011,share_of_previous_marital_status,Widowed,all,%,0.7,OECD
Slovenia,2011,share_of_previous_marital_status,Single never married,all,%,89.9,OECD
Slovenia,2011,share_of_previous_marital_status,Divorced,all,%,9.0,OECD
Slovenia,2011,share_of_previous_marital_status,Widowed,all,%,1.1,OECD
Spain,2011,share_of_previous_marital_status,Single never married,all,%,85.4,OECD
Spain,2011,share_of_previous_marital_status,Divorced,all,%,13.8,OECD
Spain,2011,share_of_previous_marital_status,Widowed,all,%,0.8,OECD
Sweden,2011,share_of_previous_marital_status,Single never married,all,%,79.3,OECD
Sweden,2011,share_of_previous_marital_status,Divorced,all,%,19.8,OECD
Sweden,2011,share_of_previous_marital_status,Widowed,all,%,0.9,OECD
Switzerland,2011,share_of_previous_marital_status,Single never married,all,%,78.0,OECD
Switzerland,2011,share_of_previous_marital_status,Divorced,all,%,21.0,OECD
Switzerland,2011,share_of_previous_marital_status,Widowed,all,%,0.9,OECD
Bulgaria,2011,share_of_previous_marital_status,Single never married,all,%,88.1,OECD
Bulgaria,2011,share_of_previous_marital_status,Divorced,all,%,11.0,OECD
Bulgaria,2011,share_of_previous_marital_status,Widowed,all,%,0.8,OECD
Croatia,2011,share_of_previous_marital_status,Single never married,all,%,91.2,OECD
Croatia,2011,share_of_previous_marital_status,Divorced,all,%,7.8,OECD
Croatia,2011,share_of_previous_marital_status,Widowed,all,%,0.9,OECD
Romania,2011,share_of_previous_marital_status,Single never married,all,%,85.5,OECD
Romania,2011,share_of_previous_marital_status,Divorced,all,%,13.3,OECD
Romania,2011,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
Australia,2012,share_of_previous_marital_status,Single never married,all,%,80.0,OECD
Australia,2012,share_of_previous_marital_status,Divorced,all,%,18.6,OECD
Australia,2012,share_of_previous_marital_status,Widowed,all,%,1.4,OECD
Austria,2012,share_of_previous_marital_status,Single never married,all,%,76.7,OECD
Austria,2012,share_of_previous_marital_status,Divorced,all,%,22.3,OECD
Austria,2012,share_of_previous_marital_status,Widowed,all,%,1.0,OECD
Czechia,2012,share_of_previous_marital_status,Single never married,all,%,75.2,OECD
Czechia,2012,share_of_previous_marital_status,Divorced,all,%,23.8,OECD
Czechia,2012,share_of_previous_marital_status,Widowed,all,%,1.0,OECD
Denmark,2012,share_of_previous_marital_status,Single never married,all,%,75.0,OECD
Denmark,2012,share_of_previous_marital_status,Divorced,all,%,23.0,OECD
Denmark,2012,share_of_previous_marital_status,Widowed,all,%,1.9,OECD
Finland,2012,share_of_previous_marital_status,Single never married,all,%,75.9,OECD
Finland,2012,share_of_previous_marital_status,Divorced,all,%,22.7,OECD
Finland,2012,share_of_previous_marital_status,Widowed,all,%,1.4,OECD
Greece,2012,share_of_previous_marital_status,Single never married,all,%,88.5,OECD
Greece,2012,share_of_previous_marital_status,Divorced,all,%,5.7,OECD
Greece,2012,share_of_previous_marital_status,Widowed,all,%,5.8,OECD
Hungary,2012,share_of_previous_marital_status,Single never married,all,%,76.4,OECD
Hungary,2012,share_of_previous_marital_status,Divorced,all,%,22.2,OECD
Hungary,2012,share_of_previous_marital_status,Widowed,all,%,1.4,OECD
Lithuania,2012,share_of_previous_marital_status,Single never married,all,%,78.8,OECD
Lithuania,2012,share_of_previous_marital_status,Divorced,all,%,19.6,OECD
Lithuania,2012,share_of_previous_marital_status,Widowed,all,%,1.6,OECD
Luxembourg,2012,share_of_previous_marital_status,Single never married,all,%,76.8,OECD
Luxembourg,2012,share_of_previous_marital_status,Divorced,all,%,21.7,OECD
Luxembourg,2012,share_of_previous_marital_status,Widowed,all,%,1.5,OECD
New Zealand,2012,share_of_previous_marital_status,Single never married,all,%,77.7,OECD
New Zealand,2012,share_of_previous_marital_status,Divorced,all,%,20.1,OECD
New Zealand,2012,share_of_previous_marital_status,Widowed,all,%,2.1,OECD
Poland,2012,share_of_previous_marital_status,Single never married,all,%,88.4,OECD
Poland,2012,share_of_previous_marital_status,Divorced,all,%,9.9,OECD
Poland,2012,share_of_previous_marital_status,Widowed,all,%,1.7,OECD
Portugal,2012,share_of_previous_marital_status,Single never married,all,%,80.9,OECD
Portugal,2012,share_of_previous_marital_status,Divorced,all,%,18.0,OECD
Portugal,2012,share_of_previous_marital_status,Widowed,all,%,1.1,OECD
Slovak Republic,2012,share_of_previous_marital_status,Single never married,all,%,86.2,OECD
Slovak Republic,2012,share_of_previous_marital_status,Divorced,all,%,13.2,OECD
Slovak Republic,2012,share_of_previous_marital_status,Widowed,all,%,0.6,OECD
Slovenia,2012,share_of_previous_marital_status,Single never married,all,%,89.5,OECD
Slovenia,2012,share_of_previous_marital_status,Divorced,all,%,9.6,OECD
Slovenia,2012,share_of_previous_marital_status,Widowed,all,%,0.9,OECD
Spain,2012,share_of_previous_marital_status,Single never married,all,%,85.3,OECD
Spain,2012,share_of_previous_marital_status,Divorced,all,%,13.9,OECD
Spain,2012,share_of_previous_marital_status,Widowed,all,%,0.8,OECD
Sweden,2012,share_of_previous_marital_status,Single never married,all,%,78.7,OECD
Sweden,2012,share_of_previous_marital_status,Divorced,all,%,20.3,OECD
Sweden,2012,share_of_previous_marital_status,Widowed,all,%,1.0,OECD
Switzerland,2012,share_of_previous_marital_status,Single never married,all,%,79.0,OECD
Switzerland,2012,share_of_previous_marital_status,Divorced,all,%,20.0,OECD
Switzerland,2012,share_of_previous_marital_status,Widowed,all,%,1.0,OECD
Bulgaria,2012,share_of_previous_marital_status,Single never married,all,%,88.1,OECD
Bulgaria,2012,share_of_previous_marital_status,Divorced,all,%,11.1,OECD
Bulgaria,2012,share_of_previous_marital_status,Widowed,all,%,0.7,OECD
Croatia,2012,share_of_previous_marital_status,Single never married,all,%,90.8,OECD
Croatia,2012,share_of_previous_marital_status,Divorced,all,%,8.2,OECD
Croatia,2012,share_of_previous_marital_status,Widowed,all,%,1.0,OECD
Romania,2012,share_of_previous_marital_status,Single never married,all,%,85.3,OECD
Romania,2012,share_of_previous_marital_status,Divorced,all,%,13.4,OECD
Romania,2012,share_of_previous_marital_status,Widowed,all,%,1.2,OECD
Australia,2013,share_of_previous_marital_status,Single never married,all,%,80.5,OECD
Australia,2013,share_of_previous_marital_status,Divorced,all,%,18.2,OECD
Australia,2013,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
Austria,2013,share_of_previous_marital_status,Single never married,all,%,77.1,OECD
Austria,2013,share_of_previous_marital_status,Divorced,all,%,22.0,OECD
Austria,2013,share_of_previous_marital_status,Widowed,all,%,0.9,OECD
Czechia,2013,share_of_previous_marital_status,Single never married,all,%,75.6,OECD
Czechia,2013,share_of_previous_marital_status,Divorced,all,%,23.4,OECD
Czechia,2013,share_of_previous_marital_status,Widowed,all,%,1.0,OECD
Denmark,2013,share_of_previous_marital_status,Single never married,all,%,76.2,OECD
Denmark,2013,share_of_previous_marital_status,Divorced,all,%,22.0,OECD
Denmark,2013,share_of_previous_marital_status,Widowed,all,%,1.8,OECD
Finland,2013,share_of_previous_marital_status,Single never married,all,%,76.5,OECD
Finland,2013,share_of_previous_marital_status,Divorced,all,%,22.3,OECD
Finland,2013,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
Greece,2013,share_of_previous_marital_status,Single never married,all,%,87.9,OECD
Greece,2013,share_of_previous_marital_status,Divorced,all,%,11.4,OECD
Greece,2013,share_of_previous_marital_status,Widowed,all,%,0.7,OECD
Hungary,2013,share_of_previous_marital_status,Single never married,all,%,76.3,OECD
Hungary,2013,share_of_previous_marital_status,Divorced,all,%,22.3,OECD
Hungary,2013,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
Lithuania,2013,share_of_previous_marital_status,Single never married,all,%,78.4,OECD
Lithuania,2013,share_of_previous_marital_status,Divorced,all,%,20.0,OECD
Lithuania,2013,share_of_previous_marital_status,Widowed,all,%,1.6,OECD
Luxembourg,2013,share_of_previous_marital_status,Single never married,all,%,74.9,OECD
Luxembourg,2013,share_of_previous_marital_status,Divorced,all,%,23.4,OECD
Luxembourg,2013,share_of_previous_marital_status,Widowed,all,%,1.7,OECD
New Zealand,2013,share_of_previous_marital_status,Single never married,all,%,77.8,OECD
New Zealand,2013,share_of_previous_marital_status,Divorced,all,%,19.8,OECD
New Zealand,2013,share_of_previous_marital_status,Widowed,all,%,2.4,OECD
