country,code,year,mean_age_of_women_at_first_marriage
Spain,ESP,1991,25.9
Spain,ESP,1992,26.2
Spain,ESP,1993,26.6
Spain,ESP,1994,26.9
Spain,ESP,1995,27.1
Spain,ESP,1996,27.4
Spain,ESP,1997,27.6
Spain,ESP,1998,27.8
Spain,ESP,1999,28.0
Spain,ESP,2000,28.1
Spain,ESP,2002,28.6
Spain,ESP,2003,28.9
Spain,ESP,2004,29.2
Spain,ESP,2005,29.4
Spain,ESP,2006,29.6
Spain,ESP,2007,29.8
Spain,ESP,2008,30.1
Spain,ESP,2009,30.5
Spain,ESP,2010,30.9
Spain,ESP,2011,31.3
Spain,ESP,2012,31.6
Spain,ESP,2013,32.2
Spain,ESP,2014,32.3
Spain,ESP,2015,32.7
Spain,ESP,2016,33.0
Spain,ESP,2017,33.2
Spain,ESP,2018,33.5
Spain,ESP,2019,33.9
Spain,ESP,2020,34.9
Sweden,SWE,1990,27.7
Sweden,SWE,1991,27.9
Sweden,SWE,1992,28.2
Sweden,SWE,1993,28.3
Sweden,SWE,1994,28.7
Sweden,SWE,1996,29.2
Sweden,SWE,1997,29.5
Sweden,SWE,1998,29.7
Sweden,SWE,1999,30.2
Sweden,SWE,2000,30.4
Sweden,SWE,2001,30.3
Sweden,SWE,2002,30.6
Sweden,SWE,2003,31.0
Sweden,SWE,2004,31.3
Sweden,SWE,2005,31.7
Sweden,SWE,2006,31.5
Sweden,SWE,2008,32.3
Sweden,SWE,2009,32.3
Sweden,SWE,2010,32.7
Sweden,SWE,2011,33.0
Sweden,SWE,2012,33.3
Sweden,SWE,2013,33.0
Sweden,SWE,2014,33.3
Sweden,SWE,2015,33.6
Sweden,SWE,2016,33.8
Sweden,SWE,2017,33.8
Sweden,SWE,2018,34.0
Sweden,SWE,2019,34.1
Sweden,SWE,2020,34.8
Switzerland,CHE,1990,27.0
Switzerland,CHE,1991,27.1
Switzerland,CHE,1992,27.1
Switzerland,CHE,1993,27.2
Switzerland,CHE,1994,27.4
Switzerland,CHE,1995,27.5
Switzerland,CHE,1997,27.8
Switzerland,CHE,1998,27.9
Switzerland,CHE,1999,28.0
Switzerland,CHE,2000,28.2
Switzerland,CHE,2001,28.4
Switzerland,CHE,2003,28.7
Switzerland,CHE,2004,29.0
Switzerland,CHE,2005,29.1
Switzerland,CHE,2006,29.1
Switzerland,CHE,2007,29.3
Switzerland,CHE,2008,29.6
Switzerland,CHE,2009,29.6
Switzerland,CHE,2010,29.8
Switzerland,CHE,2011,29.9
Switzerland,CHE,2012,29.9
Switzerland,CHE,2013,30.1
Switzerland,CHE,2014,30.1
Switzerland,CHE,2015,30.2
Switzerland,CHE,2016,30.4
Switzerland,CHE,2017,30.4
Switzerland,CHE,2018,30.5
Switzerland,CHE,2019,30.7
Switzerland,CHE,2020,30.9
Turkey,TUR,2003,24.1
Turkey,TUR,2006,23.5
Turkey,TUR,2007,23.5
Turkey,TUR,2008,23.6
Turkey,TUR,2009,23.7
Turkey,TUR,2010,23.8
Turkey,TUR,2011,23.9
Turkey,TUR,2013,24.2
Turkey,TUR,2014,24.3
Turkey,TUR,2015,24.5
Turkey,TUR,2016,24.7
Turkey,TUR,2017,24.8
Turkey,TUR,2018,24.9
Turkey,TUR,2019,25.1
Turkey,TUR,2020,25.2
United Kingdom,GBR,1990,25.15
United Kingdom,GBR,1991,25.5
United Kingdom,GBR,1992,25.86
United Kingdom,GBR,1993,26.17
United Kingdom,GBR,1994,26.51
United Kingdom,GBR,1995,26.83
United Kingdom,GBR,1996,27.2
United Kingdom,GBR,1997,27.47
United Kingdom,GBR,1998,27.7
United Kingdom,GBR,1999,28.0
United Kingdom,GBR,2000,28.2
United Kingdom,GBR,2001,28.4
United Kingdom,GBR,2002,28.7
United Kingdom,GBR,2003,28.9
United Kingdom,GBR,2004,29.1
United Kingdom,GBR,2005,29.5
United Kingdom,GBR,2006,29.7
United Kingdom,GBR,2007,29.8
United Kingdom,GBR,2008,29.9
United Kingdom,GBR,2009,29.9
United Kingdom,GBR,2010,30.0
United Kingdom,GBR,2011,30.2
United Kingdom,GBR,2012,30.3
United Kingdom,GBR,2013,30.6
United Kingdom,GBR,2014,30.8
United Kingdom,GBR,2015,31.2
United Kingdom,GBR,2016,31.5
United Kingdom,GBR,2017,31.7
United Kingdom,GBR,2018,31.8
United Kingdom,GBR,2019,32.1
United States,USA,1990,23.9
United States,USA,1991,24.1
United States,USA,1992,24.4
United States,USA,1993,24.5
United States,USA,1994,24.5
United States,USA,1995,24.5
United States,USA,1996,24.8
United States,USA,1997,25.0
United States,USA,1998,25.0
United States,USA,1999,25.1
United States,USA,2000,25.1
United States,USA,2001,25.1
United States,USA,2002,25.3
United States,USA,2003,25.3
United States,USA,2004,25.3
United States,USA,2005,25.3
United States,USA,2006,25.5
United States,USA,2007,25.6
United States,USA,2008,25.9
United States,USA,2009,25.9
United States,USA,2010,26.1
United States,USA,2011,26.4
United States,USA,2012,26.6
United States,USA,2013,26.6
United States,USA,2014,27.0
United States,USA,2015,27.1
United States,USA,2016,27.4
United States,USA,2017,27.4
United States,USA,2018,27.8
United States,USA,2019,28.0
United States,USA,2020,28.1
United States,USA,2021,28.6
