indicatorname,year,country,code,time,variant,sex,age,estimate_method,estimatemethod,value
Currently married (Percent),2024,Benin,BEN,1983,Median,Female,15-49,2,Interpolation,79.02
Currently married (Percent),2024,Benin,BEN,1984,Median,Female,15-49,2,Interpolation,78.57
Currently married (Percent),2024,Benin,BEN,1985,Median,Female,15-49,2,Interpolation,78.12
Currently married (Percent),2024,Benin,BEN,1986,Median,Female,15-49,2,Interpolation,77.67
Currently married (Percent),2024,Benin,BEN,1987,Median,Female,15-49,2,Interpolation,77.23
Currently married (Percent),2024,Benin,BEN,1988,Median,Female,15-49,2,Interpolation,76.79
Currently married (Percent),2024,Benin,BEN,1989,Median,Female,15-49,2,Interpolation,76.36
Currently married (Percent),2024,Benin,BEN,1990,Median,Female,15-49,2,Interpolation,75.93
Currently married (Percent),2024,Benin,BEN,1991,Median,Female,15-49,2,Interpolation,75.51
Currently married (Percent),2024,Benin,BEN,1992,Median,Female,15-49,2,Interpolation,75.08
Currently married (Percent),2024,Benin,BEN,1993,Median,Female,15-49,2,Interpolation,74.78
Currently married (Percent),2024,Benin,BEN,1994,Median,Female,15-49,2,Interpolation,74.43
Currently married (Percent),2024,Benin,BEN,1995,Median,Female,15-49,2,Interpolation,73.91
Currently married (Percent),2024,Benin,BEN,1996,Median,Female,15-49,2,Interpolation,73.38
Currently married (Percent),2024,Benin,BEN,1997,Median,Female,15-49,2,Interpolation,72.85
Currently married (Percent),2024,Benin,BEN,1998,Median,Female,15-49,2,Interpolation,72.34
Currently married (Percent),2024,Benin,BEN,1999,Median,Female,15-49,2,Interpolation,71.84
Currently married (Percent),2024,Benin,BEN,2000,Median,Female,15-49,2,Interpolation,71.37
Currently married (Percent),2024,Benin,BEN,2001,Median,Female,15-49,2,Interpolation,70.94
Currently married (Percent),2024,Benin,BEN,2002,Median,Female,15-49,2,Interpolation,70.66
Currently married (Percent),2024,Benin,BEN,2003,Median,Female,15-49,2,Interpolation,70.39
Currently married (Percent),2024,Benin,BEN,2004,Median,Female,15-49,2,Interpolation,70.13
Currently married (Percent),2024,Benin,BEN,2005,Median,Female,15-49,2,Interpolation,69.92
Currently married (Percent),2024,Benin,BEN,2006,Median,Female,15-49,2,Interpolation,69.71
Currently married (Percent),2024,Benin,BEN,2007,Median,Female,15-49,2,Interpolation,69.49
Currently married (Percent),2024,Benin,BEN,2008,Median,Female,15-49,2,Interpolation,69.28
Currently married (Percent),2024,Benin,BEN,2009,Median,Female,15-49,2,Interpolation,69.01
Currently married (Percent),2024,Benin,BEN,2010,Median,Female,15-49,2,Interpolation,68.71
Currently married (Percent),2024,Benin,BEN,2011,Median,Female,15-49,2,Interpolation,68.46
Currently married (Percent),2024,Benin,BEN,2012,Median,Female,15-49,2,Interpolation,68.22
Currently married (Percent),2024,Benin,BEN,2013,Median,Female,15-49,2,Interpolation,67.97
Currently married (Percent),2024,Benin,BEN,2014,Median,Female,15-49,2,Interpolation,67.76
Currently married (Percent),2024,Benin,BEN,2015,Median,Female,15-49,2,Interpolation,67.57
Currently married (Percent),2024,Benin,BEN,2016,Median,Female,15-49,2,Interpolation,67.34
Currently married (Percent),2024,Benin,BEN,2017,Median,Female,15-49,2,Interpolation,67.11
Currently married (Percent),2024,Benin,BEN,2018,Median,Female,15-49,2,Interpolation,66.85
Currently married (Percent),2024,Benin,BEN,2019,Median,Female,15-49,2,Interpolation,66.6
Currently married (Percent),2024,Benin,BEN,2020,Median,Female,15-49,2,Interpolation,66.34
Currently married (Percent),2024,Benin,BEN,2021,Median,Female,15-49,2,Interpolation,66.04
Currently married (Percent),2024,Benin,BEN,2022,Median,Female,15-49,2,Interpolation,65.71
Currently married (Percent),2024,Benin,BEN,2023,Median,Female,15-49,3,Projection,65.41
Currently married (Percent),2024,Benin,BEN,2024,Median,Female,15-49,3,Projection,65.12
Currently married (Percent),2024,Benin,BEN,2025,Median,Female,15-49,3,Projection,64.83
Currently married (Percent),2024,Denmark,DNK,1970,Median,Female,15-49,2,Interpolation,69.07
Currently married (Percent),2024,Denmark,DNK,1971,Median,Female,15-49,2,Interpolation,68.95
Currently married (Percent),2024,Denmark,DNK,1972,Median,Female,15-49,2,Interpolation,68.85
Currently married (Percent),2024,Denmark,DNK,1973,Median,Female,15-49,2,Interpolation,68.73
Currently married (Percent),2024,Denmark,DNK,1974,Median,Female,15-49,2,Interpolation,68.58
Currently married (Percent),2024,Denmark,DNK,1975,Median,Female,15-49,2,Interpolation,68.4
Currently married (Percent),2024,Denmark,DNK,1976,Median,Female,15-49,2,Interpolation,68.18
Currently married (Percent),2024,Denmark,DNK,1977,Median,Female,15-49,2,Interpolation,67.93
Currently married (Percent),2024,Denmark,DNK,1978,Median,Female,15-49,2,Interpolation,67.59
Currently married (Percent),2024,Denmark,DNK,1979,Median,Female,15-49,2,Interpolation,67.18
Currently married (Percent),2024,Denmark,DNK,1980,Median,Female,15-49,2,Interpolation,66.75
Currently married (Percent),2024,Denmark,DNK,1981,Median,Female,15-49,2,Interpolation,66.29
Currently married (Percent),2024,Denmark,DNK,1982,Median,Female,15-49,2,Interpolation,65.89
Currently married (Percent),2024,Denmark,DNK,1983,Median,Female,15-49,2,Interpolation,65.68
Currently married (Percent),2024,Denmark,DNK,1984,Median,Female,15-49,2,Interpolation,65.63
Currently married (Percent),2024,Denmark,DNK,1985,Median,Female,15-49,2,Interpolation,65.61
Currently married (Percent),2024,Denmark,DNK,1986,Median,Female,15-49,2,Interpolation,65.59
Currently married (Percent),2024,Denmark,DNK,1987,Median,Female,15-49,2,Interpolation,65.48
Currently married (Percent),2024,Denmark,DNK,1988,Median,Female,15-49,2,Interpolation,65.32
Currently married (Percent),2024,Denmark,DNK,1989,Median,Female,15-49,2,Interpolation,65.16
Currently married (Percent),2024,Denmark,DNK,1990,Median,Female,15-49,2,Interpolation,64.96
Currently married (Percent),2024,Denmark,DNK,1991,Median,Female,15-49,2,Interpolation,64.87
Currently married (Percent),2024,Denmark,DNK,1992,Median,Female,15-49,2,Interpolation,64.9
Currently married (Percent),2024,Denmark,DNK,1993,Median,Female,15-49,2,Interpolation,64.85
Currently married (Percent),2024,Denmark,DNK,1994,Median,Female,15-49,2,Interpolation,64.75
Currently married (Percent),2024,Denmark,DNK,1995,Median,Female,15-49,2,Interpolation,64.67
Currently married (Percent),2024,Denmark,DNK,1996,Median,Female,15-49,2,Interpolation,64.63
Currently married (Percent),2024,Denmark,DNK,1997,Median,Female,15-49,2,Interpolation,64.6
Currently married (Percent),2024,Denmark,DNK,1998,Median,Female,15-49,2,Interpolation,64.56
Currently married (Percent),2024,Denmark,DNK,1999,Median,Female,15-49,2,Interpolation,64.49
Currently married (Percent),2024,Denmark,DNK,2000,Median,Female,15-49,2,Interpolation,64.37
Currently married (Percent),2024,Denmark,DNK,2001,Median,Female,15-49,2,Interpolation,64.17
Currently married (Percent),2024,Denmark,DNK,2002,Median,Female,15-49,2,Interpolation,63.88
Currently married (Percent),2024,Denmark,DNK,2003,Median,Female,15-49,2,Interpolation,63.53
Currently married (Percent),2024,Denmark,DNK,2004,Median,Female,15-49,2,Interpolation,63.09
Currently married (Percent),2024,Denmark,DNK,2005,Median,Female,15-49,2,Interpolation,62.6
Currently married (Percent),2024,Denmark,DNK,2006,Median,Female,15-49,2,Interpolation,62.04
Currently married (Percent),2024,Denmark,DNK,2007,Median,Female,15-49,2,Interpolation,61.4
Currently married (Percent),2024,Denmark,DNK,2008,Median,Female,15-49,2,Interpolation,60.75
Currently married (Percent),2024,Denmark,DNK,2009,Median,Female,15-49,2,Interpolation,60.11
Currently married (Percent),2024,Denmark,DNK,2010,Median,Female,15-49,2,Interpolation,59.49
Currently married (Percent),2024,Denmark,DNK,2011,Median,Female,15-49,2,Interpolation,58.91
Currently married (Percent),2024,Denmark,DNK,2012,Median,Female,15-49,2,Interpolation,58.31
Currently married (Percent),2024,Denmark,DNK,2013,Median,Female,15-49,2,Interpolation,57.76
Currently married (Percent),2024,Denmark,DNK,2014,Median,Female,15-49,2,Interpolation,57.26
Currently married (Percent),2024,Denmark,DNK,2015,Median,Female,15-49,2,Interpolation,56.78
Currently married (Percent),2024,Denmark,DNK,2016,Median,Female,15-49,2,Interpolation,56.31
Currently married (Percent),2024,Denmark,DNK,2017,Median,Female,15-49,2,Interpolation,55.9
Currently married (Percent),2024,Denmark,DNK,2018,Median,Female,15-49,2,Interpolation,55.59
Currently married (Percent),2024,Denmark,DNK,2019,Median,Female,15-49,2,Interpolation,55.34
Currently married (Percent),2024,Denmark,DNK,2020,Median,Female,15-49,2,Interpolation,55.14
Currently married (Percent),2024,Denmark,DNK,2021,Median,Female,15-49,2,Interpolation,54.9
Currently married (Percent),2024,Denmark,DNK,2022,Median,Female,15-49,2,Interpolation,54.64
Currently married (Percent),2024,Denmark,DNK,2023,Median,Female,15-49,2,Interpolation,54.46
Currently married (Percent),2024,Denmark,DNK,2024,Median,Female,15-49,2,Interpolation,54.28
Currently married (Percent),2024,Denmark,DNK,2025,Median,Female,15-49,3,Projection,54.06
Currently married (Percent),2024,Dominica,DMA,1970,Median,Female,15-49,2,Interpolation,43.54
Currently married (Percent),2024,Dominica,DMA,1971,Median,Female,15-49,2,Interpolation,43.35
Currently married (Percent),2024,Dominica,DMA,1972,Median,Female,15-49,2,Interpolation,43.22
Currently married (Percent),2024,Dominica,DMA,1973,Median,Female,15-49,2,Interpolation,43.09
Currently married (Percent),2024,Dominica,DMA,1974,Median,Female,15-49,2,Interpolation,42.98
Currently married (Percent),2024,Dominica,DMA,1975,Median,Female,15-49,2,Interpolation,42.85
Currently married (Percent),2024,Dominica,DMA,1976,Median,Female,15-49,2,Interpolation,42.68
Currently married (Percent),2024,Dominica,DMA,1977,Median,Female,15-49,2,Interpolation,42.5
Currently married (Percent),2024,Dominica,DMA,1978,Median,Female,15-49,2,Interpolation,42.3
Currently married (Percent),2024,Dominica,DMA,1979,Median,Female,15-49,2,Interpolation,42.05
Currently married (Percent),2024,Dominica,DMA,1980,Median,Female,15-49,2,Interpolation,41.77
Currently married (Percent),2024,Dominica,DMA,1981,Median,Female,15-49,2,Interpolation,41.58
Currently married (Percent),2024,Dominica,DMA,1982,Median,Female,15-49,2,Interpolation,41.62
Currently married (Percent),2024,Dominica,DMA,1983,Median,Female,15-49,2,Interpolation,41.78
Currently married (Percent),2024,Dominica,DMA,1984,Median,Female,15-49,2,Interpolation,42.03
Currently married (Percent),2024,Dominica,DMA,1985,Median,Female,15-49,2,Interpolation,42.36
Currently married (Percent),2024,Dominica,DMA,1986,Median,Female,15-49,2,Interpolation,42.75
Currently married (Percent),2024,Dominica,DMA,1987,Median,Female,15-49,2,Interpolation,43.17
Currently married (Percent),2024,Dominica,DMA,1988,Median,Female,15-49,2,Interpolation,43.61
Currently married (Percent),2024,Dominica,DMA,1989,Median,Female,15-49,2,Interpolation,44.06
Currently married (Percent),2024,Dominica,DMA,1990,Median,Female,15-49,2,Interpolation,44.57
Currently married (Percent),2024,Dominica,DMA,1991,Median,Female,15-49,2,Interpolation,45.18
Currently married (Percent),2024,Dominica,DMA,1992,Median,Female,15-49,2,Interpolation,45.85
Currently married (Percent),2024,Dominica,DMA,1993,Median,Female,15-49,2,Interpolation,46.51
Currently married (Percent),2024,Dominica,DMA,1994,Median,Female,15-49,2,Interpolation,47.11
Currently married (Percent),2024,Dominica,DMA,1995,Median,Female,15-49,2,Interpolation,47.65
Currently married (Percent),2024,Dominica,DMA,1996,Median,Female,15-49,2,Interpolation,48.06
Currently married (Percent),2024,Dominica,DMA,1997,Median,Female,15-49,2,Interpolation,48.29
Currently married (Percent),2024,Dominica,DMA,1998,Median,Female,15-49,2,Interpolation,48.36
Currently married (Percent),2024,Dominica,DMA,1999,Median,Female,15-49,2,Interpolation,48.33
Currently married (Percent),2024,Dominica,DMA,2000,Median,Female,15-49,2,Interpolation,48.24
Currently married (Percent),2024,Dominica,DMA,2001,Median,Female,15-49,2,Interpolation,48.14
Currently married (Percent),2024,Dominica,DMA,2002,Median,Female,15-49,2,Interpolation,48.09
Currently married (Percent),2024,Dominica,DMA,2003,Median,Female,15-49,2,Interpolation,48.13
Currently married (Percent),2024,Dominica,DMA,2004,Median,Female,15-49,2,Interpolation,48.24
Currently married (Percent),2024,Dominica,DMA,2005,Median,Female,15-49,2,Interpolation,48.35
Currently married (Percent),2024,Dominica,DMA,2006,Median,Female,15-49,2,Interpolation,48.44
Currently married (Percent),2024,Dominica,DMA,2007,Median,Female,15-49,2,Interpolation,48.48
Currently married (Percent),2024,Dominica,DMA,2008,Median,Female,15-49,2,Interpolation,48.48
Currently married (Percent),2024,Dominica,DMA,2009,Median,Female,15-49,2,Interpolation,48.47
Currently married (Percent),2024,Dominica,DMA,2010,Median,Female,15-49,2,Interpolation,48.47
Currently married (Percent),2024,Dominica,DMA,2011,Median,Female,15-49,2,Interpolation,48.43
Currently married (Percent),2024,Dominica,DMA,2012,Median,Female,15-49,3,Projection,48.6
Currently married (Percent),2024,Dominica,DMA,2013,Median,Female,15-49,3,Projection,48.64
Currently married (Percent),2024,Dominica,DMA,2014,Median,Female,15-49,3,Projection,48.7
Currently married (Percent),2024,Dominica,DMA,2015,Median,Female,15-49,3,Projection,48.97
Currently married (Percent),2024,Dominica,DMA,2016,Median,Female,15-49,3,Projection,49.54
Currently married (Percent),2024,Dominica,DMA,2017,Median,Female,15-49,3,Projection,50.24
Currently married (Percent),2024,Dominica,DMA,2018,Median,Female,15-49,3,Projection,50.6
Currently married (Percent),2024,Dominica,DMA,2019,Median,Female,15-49,3,Projection,51.0
Currently married (Percent),2024,Dominica,DMA,2020,Median,Female,15-49,3,Projection,51.41
Currently married (Percent),2024,Dominica,DMA,2021,Median,Female,15-49,3,Projection,51.78
Currently married (Percent),2024,Dominica,DMA,2022,Median,Female,15-49,3,Projection,52.04
Currently married (Percent),2024,Dominica,DMA,2023,Median,Female,15-49,3,Projection,52.19
Currently married (Percent),2024,Dominica,DMA,2024,Median,Female,15-49,3,Projection,52.32
Currently married (Percent),2024,Dominica,DMA,2025,Median,Female,15-49,3,Projection,52.51
Currently married (Percent),2024,Dominican Republic,DOM,1970,Median,Female,15-49,2,Interpolation,59.65
Currently married (Percent),2024,Dominican Republic,DOM,1971,Median,Female,15-49,2,Interpolation,59.27
Currently married (Percent),2024,Dominican Republic,DOM,1972,Median,Female,15-49,2,Interpolation,58.94
Currently married (Percent),2024,Dominican Republic,DOM,1973,Median,Female,15-49,2,Interpolation,58.65
Currently married (Percent),2024,Dominican Republic,DOM,1974,Median,Female,15-49,2,Interpolation,58.39
Currently married (Percent),2024,Dominican Republic,DOM,1975,Median,Female,15-49,2,Interpolation,58.18
Currently married (Percent),2024,Dominican Republic,DOM,1976,Median,Female,15-49,2,Interpolation,58.01
Currently married (Percent),2024,Dominican Republic,DOM,1977,Median,Female,15-49,2,Interpolation,57.89
Currently married (Percent),2024,Dominican Republic,DOM,1978,Median,Female,15-49,2,Interpolation,57.81
Currently married (Percent),2024,Dominican Republic,DOM,1979,Median,Female,15-49,2,Interpolation,57.77
Currently married (Percent),2024,Dominican Republic,DOM,1980,Median,Female,15-49,2,Interpolation,57.76
Currently married (Percent),2024,Dominican Republic,DOM,1981,Median,Female,15-49,2,Interpolation,57.78
Currently married (Percent),2024,Dominican Republic,DOM,1982,Median,Female,15-49,2,Interpolation,57.81
Currently married (Percent),2024,Dominican Republic,DOM,1983,Median,Female,15-49,2,Interpolation,57.86
Currently married (Percent),2024,Dominican Republic,DOM,1984,Median,Female,15-49,2,Interpolation,57.93
Currently married (Percent),2024,Dominican Republic,DOM,1985,Median,Female,15-49,2,Interpolation,58.0
Currently married (Percent),2024,Dominican Republic,DOM,1986,Median,Female,15-49,2,Interpolation,58.06
Currently married (Percent),2024,Dominican Republic,DOM,1987,Median,Female,15-49,2,Interpolation,58.11
Currently married (Percent),2024,Dominican Republic,DOM,1988,Median,Female,15-49,2,Interpolation,58.13
Currently married (Percent),2024,Dominican Republic,DOM,1989,Median,Female,15-49,2,Interpolation,58.14
Currently married (Percent),2024,Dominican Republic,DOM,1990,Median,Female,15-49,2,Interpolation,58.15
Currently married (Percent),2024,Dominican Republic,DOM,1991,Median,Female,15-49,2,Interpolation,58.17
Currently married (Percent),2024,Dominican Republic,DOM,1992,Median,Female,15-49,2,Interpolation,58.18
Currently married (Percent),2024,Dominican Republic,DOM,1993,Median,Female,15-49,2,Interpolation,58.2
Currently married (Percent),2024,Dominican Republic,DOM,1994,Median,Female,15-49,2,Interpolation,58.2
Currently married (Percent),2024,Dominican Republic,DOM,1995,Median,Female,15-49,2,Interpolation,58.19
Currently married (Percent),2024,Dominican Republic,DOM,1996,Median,Female,15-49,2,Interpolation,58.17
Currently married (Percent),2024,Dominican Republic,DOM,1997,Median,Female,15-49,2,Interpolation,58.15
Currently married (Percent),2024,Dominican Republic,DOM,1998,Median,Female,15-49,2,Interpolation,58.1
Currently married (Percent),2024,Dominican Republic,DOM,1999,Median,Female,15-49,2,Interpolation,58.04
Currently married (Percent),2024,Dominican Republic,DOM,2000,Median,Female,15-49,2,Interpolation,57.98
Currently married (Percent),2024,Dominican Republic,DOM,2001,Median,Female,15-49,2,Interpolation,57.91
Currently married (Percent),2024,Dominican Republic,DOM,2002,Median,Female,15-49,2,Interpolation,57.83
Currently married (Percent),2024,Dominican Republic,DOM,2003,Median,Female,15-49,2,Interpolation,57.73
Currently married (Percent),2024,Dominican Republic,DOM,2004,Median,Female,15-49,2,Interpolation,57.61
Currently married (Percent),2024,Dominican Republic,DOM,2005,Median,Female,15-49,2,Interpolation,57.47
Currently married (Percent),2024,Dominican Republic,DOM,2006,Median,Female,15-49,2,Interpolation,57.31
Currently married (Percent),2024,Dominican Republic,DOM,2007,Median,Female,15-49,2,Interpolation,57.15
Currently married (Percent),2024,Dominican Republic,DOM,2008,Median,Female,15-49,2,Interpolation,56.76
Currently married (Percent),2024,Dominican Republic,DOM,2009,Median,Female,15-49,2,Interpolation,56.4
Currently married (Percent),2024,Dominican Republic,DOM,2010,Median,Female,15-49,2,Interpolation,56.06
Currently married (Percent),2024,Dominican Republic,DOM,2011,Median,Female,15-49,2,Interpolation,55.72
Currently married (Percent),2024,Dominican Republic,DOM,2012,Median,Female,15-49,2,Interpolation,55.4
Currently married (Percent),2024,Dominican Republic,DOM,2013,Median,Female,15-49,2,Interpolation,55.12
Currently married (Percent),2024,Dominican Republic,DOM,2014,Median,Female,15-49,2,Interpolation,54.84
Currently married (Percent),2024,Dominican Republic,DOM,2015,Median,Female,15-49,2,Interpolation,54.53
Currently married (Percent),2024,Dominican Republic,DOM,2016,Median,Female,15-49,2,Interpolation,54.21
Currently married (Percent),2024,Dominican Republic,DOM,2017,Median,Female,15-49,2,Interpolation,53.87
Currently married (Percent),2024,Dominican Republic,DOM,2018,Median,Female,15-49,2,Interpolation,53.54
Currently married (Percent),2024,Dominican Republic,DOM,2019,Median,Female,15-49,2,Interpolation,53.22
Currently married (Percent),2024,Dominican Republic,DOM,2020,Median,Female,15-49,3,Projection,52.91
Currently married (Percent),2024,Dominican Republic,DOM,2021,Median,Female,15-49,3,Projection,52.64
Currently married (Percent),2024,Dominican Republic,DOM,2022,Median,Female,15-49,3,Projection,52.37
Currently married (Percent),2024,Dominican Republic,DOM,2023,Median,Female,15-49,3,Projection,52.07
Currently married (Percent),2024,Dominican Republic,DOM,2024,Median,Female,15-49,3,Projection,51.75
Currently married (Percent),2024,Dominican Republic,DOM,2025,Median,Female,15-49,3,Projection,51.42
Currently married (Percent),2024,Ecuador,ECU,1970,Median,Female,15-49,2,Interpolation,59.48
Currently married (Percent),2024,Ecuador,ECU,1971,Median,Female,15-49,2,Interpolation,59.49
Currently married (Percent),2024,Ecuador,ECU,1972,Median,Female,15-49,2,Interpolation,59.5
Currently married (Percent),2024,Ecuador,ECU,1973,Median,Female,15-49,2,Interpolation,59.53
Currently married (Percent),2024,Ecuador,ECU,1974,Median,Female,15-49,2,Interpolation,59.58
Currently married (Percent),2024,Ecuador,ECU,1975,Median,Female,15-49,2,Interpolation,59.23
Currently married (Percent),2024,Ecuador,ECU,1976,Median,Female,15-49,2,Interpolation,58.87
Currently married (Percent),2024,Ecuador,ECU,1977,Median,Female,15-49,2,Interpolation,58.51
Currently married (Percent),2024,Ecuador,ECU,1978,Median,Female,15-49,2,Interpolation,58.16
Currently married (Percent),2024,Ecuador,ECU,1979,Median,Female,15-49,2,Interpolation,57.8
Currently married (Percent),2024,Ecuador,ECU,1980,Median,Female,15-49,2,Interpolation,57.46
Currently married (Percent),2024,Ecuador,ECU,1981,Median,Female,15-49,2,Interpolation,57.11
Currently married (Percent),2024,Ecuador,ECU,1982,Median,Female,15-49,2,Interpolation,56.77
Currently married (Percent),2024,Ecuador,ECU,1983,Median,Female,15-49,2,Interpolation,56.43
Currently married (Percent),2024,Ecuador,ECU,1984,Median,Female,15-49,2,Interpolation,56.11
Currently married (Percent),2024,Ecuador,ECU,1985,Median,Female,15-49,2,Interpolation,55.8
Currently married (Percent),2024,Ecuador,ECU,1986,Median,Female,15-49,2,Interpolation,55.49
Currently married (Percent),2024,Ecuador,ECU,1987,Median,Female,15-49,2,Interpolation,55.2
Currently married (Percent),2024,Ecuador,ECU,1988,Median,Female,15-49,2,Interpolation,54.91
Currently married (Percent),2024,Ecuador,ECU,1989,Median,Female,15-49,2,Interpolation,54.63
Currently married (Percent),2024,Ecuador,ECU,1990,Median,Female,15-49,2,Interpolation,54.35
Currently married (Percent),2024,Ecuador,ECU,1991,Median,Female,15-49,2,Interpolation,54.08
Currently married (Percent),2024,Ecuador,ECU,1992,Median,Female,15-49,2,Interpolation,53.8
Currently married (Percent),2024,Ecuador,ECU,1993,Median,Female,15-49,2,Interpolation,53.52
Currently married (Percent),2024,Ecuador,ECU,1994,Median,Female,15-49,2,Interpolation,53.24
Currently married (Percent),2024,Ecuador,ECU,1995,Median,Female,15-49,2,Interpolation,52.94
Currently married (Percent),2024,Ecuador,ECU,1996,Median,Female,15-49,2,Interpolation,52.65
Currently married (Percent),2024,Ecuador,ECU,1997,Median,Female,15-49,2,Interpolation,52.34
Currently married (Percent),2024,Ecuador,ECU,1998,Median,Female,15-49,2,Interpolation,52.02
Currently married (Percent),2024,Ecuador,ECU,1999,Median,Female,15-49,2,Interpolation,51.69
Currently married (Percent),2024,Ecuador,ECU,2000,Median,Female,15-49,2,Interpolation,51.36
Currently married (Percent),2024,Ecuador,ECU,2001,Median,Female,15-49,2,Interpolation,51.05
Currently married (Percent),2024,Ecuador,ECU,2002,Median,Female,15-49,2,Interpolation,50.76
Currently married (Percent),2024,Ecuador,ECU,2003,Median,Female,15-49,2,Interpolation,50.48
Currently married (Percent),2024,Ecuador,ECU,2004,Median,Female,15-49,2,Interpolation,50.19
Currently married (Percent),2024,Ecuador,ECU,2005,Median,Female,15-49,2,Interpolation,49.9
Currently married (Percent),2024,Ecuador,ECU,2006,Median,Female,15-49,2,Interpolation,49.6
Currently married (Percent),2024,Ecuador,ECU,2007,Median,Female,15-49,2,Interpolation,49.28
Currently married (Percent),2024,Ecuador,ECU,2008,Median,Female,15-49,2,Interpolation,48.97
Currently married (Percent),2024,Ecuador,ECU,2009,Median,Female,15-49,2,Interpolation,48.68
Currently married (Percent),2024,Ecuador,ECU,2010,Median,Female,15-49,2,Interpolation,48.39
Currently married (Percent),2024,Ecuador,ECU,2011,Median,Female,15-49,2,Interpolation,48.1
Currently married (Percent),2024,Ecuador,ECU,2012,Median,Female,15-49,2,Interpolation,47.81
Currently married (Percent),2024,Ecuador,ECU,2013,Median,Female,15-49,2,Interpolation,47.52
Currently married (Percent),2024,Ecuador,ECU,2014,Median,Female,15-49,2,Interpolation,47.24
Currently married (Percent),2024,Ecuador,ECU,2015,Median,Female,15-49,2,Interpolation,46.97
Currently married (Percent),2024,Ecuador,ECU,2016,Median,Female,15-49,2,Interpolation,46.7
Currently married (Percent),2024,Ecuador,ECU,2017,Median,Female,15-49,2,Interpolation,46.45
Currently married (Percent),2024,Ecuador,ECU,2018,Median,Female,15-49,2,Interpolation,46.19
Currently married (Percent),2024,Ecuador,ECU,2019,Median,Female,15-49,2,Interpolation,45.93
Currently married (Percent),2024,Ecuador,ECU,2020,Median,Female,15-49,2,Interpolation,45.7
Currently married (Percent),2024,Ecuador,ECU,2021,Median,Female,15-49,2,Interpolation,45.48
Currently married (Percent),2024,Ecuador,ECU,2022,Median,Female,15-49,2,Interpolation,45.25
Currently married (Percent),2024,Ecuador,ECU,2023,Median,Female,15-49,3,Projection,45.0
Currently married (Percent),2024,Ecuador,ECU,2024,Median,Female,15-49,3,Projection,44.76
Currently married (Percent),2024,Ecuador,ECU,2025,Median,Female,15-49,3,Projection,44.54
Currently married (Percent),2024,El Salvador,SLV,1970,Median,Female,15-49,2,Interpolation,58.26
Currently married (Percent),2024,El Salvador,SLV,1971,Median,Female,15-49,2,Interpolation,58.22
Currently married (Percent),2024,El Salvador,SLV,1972,Median,Female,15-49,2,Interpolation,57.94
Currently married (Percent),2024,El Salvador,SLV,1973,Median,Female,15-49,2,Interpolation,57.67
Currently married (Percent),2024,El Salvador,SLV,1974,Median,Female,15-49,2,Interpolation,57.4
Currently married (Percent),2024,El Salvador,SLV,1975,Median,Female,15-49,2,Interpolation,57.14
Currently married (Percent),2024,El Salvador,SLV,1976,Median,Female,15-49,2,Interpolation,56.87
Currently married (Percent),2024,El Salvador,SLV,1977,Median,Female,15-49,2,Interpolation,56.59
Currently married (Percent),2024,El Salvador,SLV,1978,Median,Female,15-49,2,Interpolation,56.3
Currently married (Percent),2024,El Salvador,SLV,1979,Median,Female,15-49,2,Interpolation,56.01
Currently married (Percent),2024,El Salvador,SLV,1980,Median,Female,15-49,2,Interpolation,55.74
Currently married (Percent),2024,El Salvador,SLV,1981,Median,Female,15-49,2,Interpolation,55.5
Currently married (Percent),2024,El Salvador,SLV,1982,Median,Female,15-49,2,Interpolation,55.32
Currently married (Percent),2024,El Salvador,SLV,1983,Median,Female,15-49,2,Interpolation,55.19
Currently married (Percent),2024,El Salvador,SLV,1984,Median,Female,15-49,2,Interpolation,55.09
Currently married (Percent),2024,El Salvador,SLV,1985,Median,Female,15-49,2,Interpolation,55.04
Currently married (Percent),2024,El Salvador,SLV,1986,Median,Female,15-49,2,Interpolation,55.0
Currently married (Percent),2024,El Salvador,SLV,1987,Median,Female,15-49,2,Interpolation,54.94
Currently married (Percent),2024,El Salvador,SLV,1988,Median,Female,15-49,2,Interpolation,54.86
Currently married (Percent),2024,El Salvador,SLV,1989,Median,Female,15-49,2,Interpolation,54.76
Currently married (Percent),2024,El Salvador,SLV,1990,Median,Female,15-49,2,Interpolation,54.62
Currently married (Percent),2024,El Salvador,SLV,1991,Median,Female,15-49,2,Interpolation,54.44
Currently married (Percent),2024,El Salvador,SLV,1992,Median,Female,15-49,2,Interpolation,54.23
Currently married (Percent),2024,El Salvador,SLV,1993,Median,Female,15-49,2,Interpolation,54.05
Currently married (Percent),2024,El Salvador,SLV,1994,Median,Female,15-49,2,Interpolation,53.89
Currently married (Percent),2024,El Salvador,SLV,1995,Median,Female,15-49,2,Interpolation,53.73
Currently married (Percent),2024,El Salvador,SLV,1996,Median,Female,15-49,2,Interpolation,53.58
Currently married (Percent),2024,El Salvador,SLV,1997,Median,Female,15-49,2,Interpolation,53.47
Currently married (Percent),2024,El Salvador,SLV,1998,Median,Female,15-49,2,Interpolation,53.39
Currently married (Percent),2024,El Salvador,SLV,1999,Median,Female,15-49,2,Interpolation,53.35
Currently married (Percent),2024,El Salvador,SLV,2000,Median,Female,15-49,2,Interpolation,53.32
Currently married (Percent),2024,El Salvador,SLV,2001,Median,Female,15-49,2,Interpolation,53.29
Currently married (Percent),2024,El Salvador,SLV,2002,Median,Female,15-49,2,Interpolation,53.24
