country,year,indicator,unit,value,source
Portugal,1970,total_fertility_rate,%,2.83,OECD
Slovak Republic,1970,total_fertility_rate,%,2.4,OECD
Slovenia,1970,total_fertility_rate,%,2.21,OECD
Spain,1970,total_fertility_rate,%,2.9,OECD
Sweden,1970,total_fertility_rate,%,1.94,OECD
Switzerland,1970,total_fertility_rate,%,2.1,OECD
Türkiye,1970,total_fertility_rate,%,5.0,OECD
United States,1970,total_fertility_rate,%,2.48,OECD
OECD-38,1970,total_fertility_rate,%,2.84,OECD
Brazil,1970,total_fertility_rate,%,4.93,OECD
China,1970,total_fertility_rate,%,6.09,OECD
India,1970,total_fertility_rate,%,5.62,OECD
Indonesia,1970,total_fertility_rate,%,5.49,OECD
Peru,1970,total_fertility_rate,%,6.32,OECD
South Africa,1970,total_fertility_rate,%,5.63,OECD
Thailand,1970,total_fertility_rate,%,5.45,OECD
Argentina,1970,total_fertility_rate,%,3.09,OECD
Saudi Arabia,1970,total_fertility_rate,%,7.58,OECD
Bulgaria,1970,total_fertility_rate,%,2.17,OECD
Croatia,1970,total_fertility_rate,%,1.83,OECD
EU-27 average,1970,total_fertility_rate,%,2.37,OECD
Australia,1971,total_fertility_rate,%,2.95,OECD
Austria,1971,total_fertility_rate,%,2.2,OECD
Belgium,1971,total_fertility_rate,%,2.21,OECD
Canada,1971,total_fertility_rate,%,2.19,OECD
Chile,1971,total_fertility_rate,%,3.65,OECD
Colombia,1971,total_fertility_rate,%,5.06,OECD
Costa Rica,1971,total_fertility_rate,%,4.36,OECD
Czechia,1971,total_fertility_rate,%,1.98,OECD
Denmark,1971,total_fertility_rate,%,2.04,OECD
Estonia,1971,total_fertility_rate,%,2.19,OECD
Finland,1971,total_fertility_rate,%,1.7,OECD
France,1971,total_fertility_rate,%,2.5,OECD
Germany,1971,total_fertility_rate,%,1.97,OECD
Greece,1971,total_fertility_rate,%,2.32,OECD
Hungary,1971,total_fertility_rate,%,1.92,OECD
Iceland,1971,total_fertility_rate,%,2.92,OECD
Ireland,1971,total_fertility_rate,%,3.98,OECD
Italy,1971,total_fertility_rate,%,2.41,OECD
Japan,1971,total_fertility_rate,%,2.16,OECD
Korea,1971,total_fertility_rate,%,4.54,OECD
Latvia,1971,total_fertility_rate,%,2.04,OECD
Lithuania,1971,total_fertility_rate,%,2.41,OECD
Luxembourg,1971,total_fertility_rate,%,1.96,OECD
Mexico,1971,total_fertility_rate,%,6.79,OECD
Netherlands,1971,total_fertility_rate,%,2.36,OECD
New Zealand,1971,total_fertility_rate,%,3.18,OECD
Norway,1971,total_fertility_rate,%,2.49,OECD
Poland,1971,total_fertility_rate,%,2.25,OECD
Portugal,1971,total_fertility_rate,%,2.78,OECD
Slovak Republic,1971,total_fertility_rate,%,2.43,OECD
Slovenia,1971,total_fertility_rate,%,2.16,OECD
Spain,1971,total_fertility_rate,%,2.88,OECD
Sweden,1971,total_fertility_rate,%,1.96,OECD
Switzerland,1971,total_fertility_rate,%,2.04,OECD
Türkiye,1971,total_fertility_rate,%,5.0,OECD
United States,1971,total_fertility_rate,%,2.27,OECD
OECD-38,1971,total_fertility_rate,%,2.8,OECD
Brazil,1971,total_fertility_rate,%,4.84,OECD
China,1971,total_fertility_rate,%,5.52,OECD
India,1971,total_fertility_rate,%,5.57,OECD
Indonesia,1971,total_fertility_rate,%,5.4,OECD
Peru,1971,total_fertility_rate,%,6.21,OECD
South Africa,1971,total_fertility_rate,%,5.57,OECD
Thailand,1971,total_fertility_rate,%,5.25,OECD
Argentina,1971,total_fertility_rate,%,3.11,OECD
Saudi Arabia,1971,total_fertility_rate,%,7.56,OECD
Bulgaria,1971,total_fertility_rate,%,2.1,OECD
Croatia,1971,total_fertility_rate,%,1.95,OECD
EU-27 average,1971,total_fertility_rate,%,2.36,OECD
Australia,1972,total_fertility_rate,%,2.74,OECD
Austria,1972,total_fertility_rate,%,2.08,OECD
Belgium,1972,total_fertility_rate,%,2.09,OECD
Canada,1972,total_fertility_rate,%,2.02,OECD
Chile,1972,total_fertility_rate,%,3.53,OECD
Colombia,1972,total_fertility_rate,%,4.86,OECD
Costa Rica,1972,total_fertility_rate,%,4.16,OECD
Czechia,1972,total_fertility_rate,%,2.07,OECD
Denmark,1972,total_fertility_rate,%,2.03,OECD
Estonia,1972,total_fertility_rate,%,2.13,OECD
Finland,1972,total_fertility_rate,%,1.59,OECD
France,1972,total_fertility_rate,%,2.42,OECD
Germany,1972,total_fertility_rate,%,1.74,OECD
Greece,1972,total_fertility_rate,%,2.32,OECD
Hungary,1972,total_fertility_rate,%,1.93,OECD
Iceland,1972,total_fertility_rate,%,3.09,OECD
Ireland,1972,total_fertility_rate,%,3.88,OECD
Italy,1972,total_fertility_rate,%,2.36,OECD
Japan,1972,total_fertility_rate,%,2.14,OECD
Korea,1972,total_fertility_rate,%,4.12,OECD
Latvia,1972,total_fertility_rate,%,2.03,OECD
Lithuania,1972,total_fertility_rate,%,2.34,OECD
Luxembourg,1972,total_fertility_rate,%,1.75,OECD
Mexico,1972,total_fertility_rate,%,6.7,OECD
Netherlands,1972,total_fertility_rate,%,2.15,OECD
New Zealand,1972,total_fertility_rate,%,3.0,OECD
Norway,1972,total_fertility_rate,%,2.38,OECD
Poland,1972,total_fertility_rate,%,2.24,OECD
Portugal,1972,total_fertility_rate,%,2.69,OECD
Slovak Republic,1972,total_fertility_rate,%,2.49,OECD
Slovenia,1972,total_fertility_rate,%,2.14,OECD
Spain,1972,total_fertility_rate,%,2.86,OECD
Sweden,1972,total_fertility_rate,%,1.91,OECD
Switzerland,1972,total_fertility_rate,%,1.91,OECD
Türkiye,1972,total_fertility_rate,%,5.0,OECD
United States,1972,total_fertility_rate,%,2.01,OECD
OECD-38,1972,total_fertility_rate,%,2.71,OECD
Brazil,1972,total_fertility_rate,%,4.74,OECD
China,1972,total_fertility_rate,%,5.11,OECD
India,1972,total_fertility_rate,%,5.48,OECD
Indonesia,1972,total_fertility_rate,%,5.32,OECD
Peru,1972,total_fertility_rate,%,6.09,OECD
South Africa,1972,total_fertility_rate,%,5.49,OECD
Thailand,1972,total_fertility_rate,%,5.08,OECD
Argentina,1972,total_fertility_rate,%,3.14,OECD
Saudi Arabia,1972,total_fertility_rate,%,7.54,OECD
Bulgaria,1972,total_fertility_rate,%,2.03,OECD
Croatia,1972,total_fertility_rate,%,1.97,OECD
EU-27 average,1972,total_fertility_rate,%,2.29,OECD
Australia,1973,total_fertility_rate,%,2.49,OECD
Austria,1973,total_fertility_rate,%,1.94,OECD
Belgium,1973,total_fertility_rate,%,1.95,OECD
Canada,1973,total_fertility_rate,%,1.93,OECD
Chile,1973,total_fertility_rate,%,3.41,OECD
Colombia,1973,total_fertility_rate,%,4.68,OECD
Costa Rica,1973,total_fertility_rate,%,3.99,OECD
Czechia,1973,total_fertility_rate,%,2.29,OECD
Denmark,1973,total_fertility_rate,%,1.92,OECD
Estonia,1973,total_fertility_rate,%,2.06,OECD
Finland,1973,total_fertility_rate,%,1.5,OECD
France,1973,total_fertility_rate,%,2.31,OECD
Germany,1973,total_fertility_rate,%,1.56,OECD
Greece,1973,total_fertility_rate,%,2.27,OECD
Hungary,1973,total_fertility_rate,%,1.95,OECD
Iceland,1973,total_fertility_rate,%,2.95,OECD
Ireland,1973,total_fertility_rate,%,3.74,OECD
Italy,1973,total_fertility_rate,%,2.34,OECD
Japan,1973,total_fertility_rate,%,2.14,OECD
Korea,1973,total_fertility_rate,%,4.07,OECD
Latvia,1973,total_fertility_rate,%,1.96,OECD
Lithuania,1973,total_fertility_rate,%,2.22,OECD
Luxembourg,1973,total_fertility_rate,%,1.58,OECD
Mexico,1973,total_fertility_rate,%,6.56,OECD
Netherlands,1973,total_fertility_rate,%,1.9,OECD
New Zealand,1973,total_fertility_rate,%,2.76,OECD
Norway,1973,total_fertility_rate,%,2.23,OECD
Poland,1973,total_fertility_rate,%,2.26,OECD
Portugal,1973,total_fertility_rate,%,2.65,OECD
Slovak Republic,1973,total_fertility_rate,%,2.56,OECD
Slovenia,1973,total_fertility_rate,%,2.18,OECD
Spain,1973,total_fertility_rate,%,2.84,OECD
Sweden,1973,total_fertility_rate,%,1.86,OECD
Switzerland,1973,total_fertility_rate,%,1.81,OECD
Türkiye,1973,total_fertility_rate,%,5.59,OECD
United States,1973,total_fertility_rate,%,1.88,OECD
OECD-38,1973,total_fertility_rate,%,2.63,OECD
Brazil,1973,total_fertility_rate,%,4.64,OECD
China,1973,total_fertility_rate,%,4.73,OECD
India,1973,total_fertility_rate,%,5.4,OECD
Indonesia,1973,total_fertility_rate,%,5.25,OECD
Peru,1973,total_fertility_rate,%,5.97,OECD
South Africa,1973,total_fertility_rate,%,5.41,OECD
Thailand,1973,total_fertility_rate,%,4.85,OECD
Argentina,1973,total_fertility_rate,%,3.17,OECD
Saudi Arabia,1973,total_fertility_rate,%,7.48,OECD
Bulgaria,1973,total_fertility_rate,%,2.15,OECD
Croatia,1973,total_fertility_rate,%,1.98,OECD
EU-27 average,1973,total_fertility_rate,%,2.23,OECD
Australia,1974,total_fertility_rate,%,2.32,OECD
Austria,1974,total_fertility_rate,%,1.91,OECD
Belgium,1974,total_fertility_rate,%,1.83,OECD
Canada,1974,total_fertility_rate,%,1.82,OECD
Chile,1974,total_fertility_rate,%,3.29,OECD
Colombia,1974,total_fertility_rate,%,4.53,OECD
Costa Rica,1974,total_fertility_rate,%,3.89,OECD
Czechia,1974,total_fertility_rate,%,2.43,OECD
Denmark,1974,total_fertility_rate,%,1.9,OECD
Estonia,1974,total_fertility_rate,%,2.07,OECD
Finland,1974,total_fertility_rate,%,1.62,OECD
France,1974,total_fertility_rate,%,2.11,OECD
Germany,1974,total_fertility_rate,%,1.53,OECD
Greece,1974,total_fertility_rate,%,2.38,OECD
Hungary,1974,total_fertility_rate,%,2.3,OECD
Iceland,1974,total_fertility_rate,%,2.66,OECD
Ireland,1974,total_fertility_rate,%,3.62,OECD
Italy,1974,total_fertility_rate,%,2.33,OECD
Japan,1974,total_fertility_rate,%,2.05,OECD
Korea,1974,total_fertility_rate,%,3.77,OECD
Latvia,1974,total_fertility_rate,%,2.0,OECD
Lithuania,1974,total_fertility_rate,%,2.21,OECD
Luxembourg,1974,total_fertility_rate,%,1.58,OECD
Mexico,1974,total_fertility_rate,%,6.37,OECD
Netherlands,1974,total_fertility_rate,%,1.77,OECD
New Zealand,1974,total_fertility_rate,%,2.58,OECD
Norway,1974,total_fertility_rate,%,2.13,OECD
Poland,1974,total_fertility_rate,%,2.26,OECD
Portugal,1974,total_fertility_rate,%,2.6,OECD
Slovak Republic,1974,total_fertility_rate,%,2.6,OECD
Slovenia,1974,total_fertility_rate,%,2.1,OECD
Spain,1974,total_fertility_rate,%,2.89,OECD
Sweden,1974,total_fertility_rate,%,1.87,OECD
Switzerland,1974,total_fertility_rate,%,1.73,OECD
Türkiye,1974,total_fertility_rate,%,5.46,OECD
United States,1974,total_fertility_rate,%,1.84,OECD
OECD-38,1974,total_fertility_rate,%,2.58,OECD
Brazil,1974,total_fertility_rate,%,4.5,OECD
China,1974,total_fertility_rate,%,4.17,OECD
India,1974,total_fertility_rate,%,5.33,OECD
Indonesia,1974,total_fertility_rate,%,5.09,OECD
Peru,1974,total_fertility_rate,%,5.84,OECD
South Africa,1974,total_fertility_rate,%,5.3,OECD
Thailand,1974,total_fertility_rate,%,4.6,OECD
Argentina,1974,total_fertility_rate,%,3.22,OECD
Saudi Arabia,1974,total_fertility_rate,%,7.43,OECD
Bulgaria,1974,total_fertility_rate,%,2.29,OECD
Croatia,1974,total_fertility_rate,%,1.95,OECD
EU-27 average,1974,total_fertility_rate,%,2.23,OECD
Australia,1975,total_fertility_rate,%,2.15,OECD
Austria,1975,total_fertility_rate,%,1.83,OECD
Belgium,1975,total_fertility_rate,%,1.74,OECD
Canada,1975,total_fertility_rate,%,1.8,OECD
Chile,1975,total_fertility_rate,%,3.18,OECD
Colombia,1975,total_fertility_rate,%,4.4,OECD
Costa Rica,1975,total_fertility_rate,%,3.8,OECD
Czechia,1975,total_fertility_rate,%,2.4,OECD
Denmark,1975,total_fertility_rate,%,1.92,OECD
Estonia,1975,total_fertility_rate,%,2.04,OECD
Finland,1975,total_fertility_rate,%,1.69,OECD
France,1975,total_fertility_rate,%,1.93,OECD
Germany,1975,total_fertility_rate,%,1.48,OECD
Greece,1975,total_fertility_rate,%,2.33,OECD
Hungary,1975,total_fertility_rate,%,2.38,OECD
Iceland,1975,total_fertility_rate,%,2.65,OECD
Ireland,1975,total_fertility_rate,%,3.4,OECD
Italy,1975,total_fertility_rate,%,2.21,OECD
Japan,1975,total_fertility_rate,%,1.91,OECD
Korea,1975,total_fertility_rate,%,3.43,OECD
Latvia,1975,total_fertility_rate,%,1.97,OECD
Lithuania,1975,total_fertility_rate,%,2.18,OECD
Luxembourg,1975,total_fertility_rate,%,1.55,OECD
Mexico,1975,total_fertility_rate,%,6.13,OECD
Netherlands,1975,total_fertility_rate,%,1.66,OECD
New Zealand,1975,total_fertility_rate,%,2.37,OECD
Norway,1975,total_fertility_rate,%,1.98,OECD
Poland,1975,total_fertility_rate,%,2.27,OECD
Portugal,1975,total_fertility_rate,%,2.58,OECD
Slovak Republic,1975,total_fertility_rate,%,2.53,OECD
Slovenia,1975,total_fertility_rate,%,2.16,OECD
Spain,1975,total_fertility_rate,%,2.8,OECD
Sweden,1975,total_fertility_rate,%,1.77,OECD
Switzerland,1975,total_fertility_rate,%,1.61,OECD
Türkiye,1975,total_fertility_rate,%,5.32,OECD
United States,1975,total_fertility_rate,%,1.77,OECD
OECD-38,1975,total_fertility_rate,%,2.5,OECD
Brazil,1975,total_fertility_rate,%,4.42,OECD
China,1975,total_fertility_rate,%,3.57,OECD
India,1975,total_fertility_rate,%,5.2,OECD
Indonesia,1975,total_fertility_rate,%,5.03,OECD
Peru,1975,total_fertility_rate,%,5.71,OECD
South Africa,1975,total_fertility_rate,%,5.19,OECD
Thailand,1975,total_fertility_rate,%,4.36,OECD
Argentina,1975,total_fertility_rate,%,3.27,OECD
Saudi Arabia,1975,total_fertility_rate,%,7.37,OECD
Bulgaria,1975,total_fertility_rate,%,2.23,OECD
Croatia,1975,total_fertility_rate,%,1.92,OECD
EU-27 average,1975,total_fertility_rate,%,2.18,OECD
Australia,1976,total_fertility_rate,%,2.06,OECD
Austria,1976,total_fertility_rate,%,1.69,OECD
Belgium,1976,total_fertility_rate,%,1.73,OECD
Canada,1976,total_fertility_rate,%,1.76,OECD
Chile,1976,total_fertility_rate,%,3.08,OECD
Colombia,1976,total_fertility_rate,%,4.29,OECD
Costa Rica,1976,total_fertility_rate,%,3.75,OECD
Czechia,1976,total_fertility_rate,%,2.36,OECD
Denmark,1976,total_fertility_rate,%,1.75,OECD
Estonia,1976,total_fertility_rate,%,2.07,OECD
Finland,1976,total_fertility_rate,%,1.72,OECD
France,1976,total_fertility_rate,%,1.83,OECD
Germany,1976,total_fertility_rate,%,1.51,OECD
Greece,1976,total_fertility_rate,%,2.35,OECD
Hungary,1976,total_fertility_rate,%,2.26,OECD
Iceland,1976,total_fertility_rate,%,2.52,OECD
Ireland,1976,total_fertility_rate,%,3.31,OECD
Italy,1976,total_fertility_rate,%,2.11,OECD
Japan,1976,total_fertility_rate,%,1.85,OECD
Korea,1976,total_fertility_rate,%,3.0,OECD
Latvia,1976,total_fertility_rate,%,1.93,OECD
Lithuania,1976,total_fertility_rate,%,2.18,OECD
Luxembourg,1976,total_fertility_rate,%,1.48,OECD
Mexico,1976,total_fertility_rate,%,5.86,OECD
Netherlands,1976,total_fertility_rate,%,1.63,OECD
New Zealand,1976,total_fertility_rate,%,2.27,OECD
Norway,1976,total_fertility_rate,%,1.86,OECD
Poland,1976,total_fertility_rate,%,2.3,OECD
Portugal,1976,total_fertility_rate,%,2.58,OECD
Slovak Republic,1976,total_fertility_rate,%,2.52,OECD
Slovenia,1976,total_fertility_rate,%,2.17,OECD
Spain,1976,total_fertility_rate,%,2.8,OECD
Sweden,1976,total_fertility_rate,%,1.68,OECD
Switzerland,1976,total_fertility_rate,%,1.55,OECD
Türkiye,1976,total_fertility_rate,%,5.19,OECD
United States,1976,total_fertility_rate,%,1.74,OECD
OECD-38,1976,total_fertility_rate,%,2.43,OECD
Brazil,1976,total_fertility_rate,%,4.34,OECD
China,1976,total_fertility_rate,%,3.24,OECD
India,1976,total_fertility_rate,%,5.13,OECD
Indonesia,1976,total_fertility_rate,%,4.92,OECD
Peru,1976,total_fertility_rate,%,5.58,OECD
South Africa,1976,total_fertility_rate,%,5.07,OECD
Thailand,1976,total_fertility_rate,%,4.12,OECD
Argentina,1976,total_fertility_rate,%,3.32,OECD
Saudi Arabia,1976,total_fertility_rate,%,7.33,OECD
Bulgaria,1976,total_fertility_rate,%,2.24,OECD
Croatia,1976,total_fertility_rate,%,1.9,OECD
EU-27 average,1976,total_fertility_rate,%,2.14,OECD
Australia,1977,total_fertility_rate,%,2.01,OECD
Austria,1977,total_fertility_rate,%,1.63,OECD
Belgium,1977,total_fertility_rate,%,1.71,OECD
Canada,1977,total_fertility_rate,%,1.75,OECD
Chile,1977,total_fertility_rate,%,2.98,OECD
Colombia,1977,total_fertility_rate,%,4.16,OECD
Costa Rica,1977,total_fertility_rate,%,3.7,OECD
Czechia,1977,total_fertility_rate,%,2.32,OECD
Denmark,1977,total_fertility_rate,%,1.66,OECD
Estonia,1977,total_fertility_rate,%,2.06,OECD
Finland,1977,total_fertility_rate,%,1.69,OECD
France,1977,total_fertility_rate,%,1.86,OECD
Germany,1977,total_fertility_rate,%,1.51,OECD
Greece,1977,total_fertility_rate,%,2.27,OECD
Hungary,1977,total_fertility_rate,%,2.17,OECD
Iceland,1977,total_fertility_rate,%,2.31,OECD
Ireland,1977,total_fertility_rate,%,3.27,OECD
Italy,1977,total_fertility_rate,%,1.97,OECD
Japan,1977,total_fertility_rate,%,1.8,OECD
Korea,1977,total_fertility_rate,%,2.99,OECD
Latvia,1977,total_fertility_rate,%,1.89,OECD
Lithuania,1977,total_fertility_rate,%,2.14,OECD
Luxembourg,1977,total_fertility_rate,%,1.49,OECD
Mexico,1977,total_fertility_rate,%,5.59,OECD
Netherlands,1977,total_fertility_rate,%,1.58,OECD
New Zealand,1977,total_fertility_rate,%,2.21,OECD
Norway,1977,total_fertility_rate,%,1.75,OECD
Poland,1977,total_fertility_rate,%,2.23,OECD
Portugal,1977,total_fertility_rate,%,2.48,OECD
Slovak Republic,1977,total_fertility_rate,%,2.47,OECD
Slovenia,1977,total_fertility_rate,%,2.16,OECD
Spain,1977,total_fertility_rate,%,2.67,OECD
Sweden,1977,total_fertility_rate,%,1.64,OECD
Switzerland,1977,total_fertility_rate,%,1.53,OECD
Türkiye,1977,total_fertility_rate,%,4.9,OECD
United States,1977,total_fertility_rate,%,1.79,OECD
OECD-38,1977,total_fertility_rate,%,2.36,OECD
Brazil,1977,total_fertility_rate,%,4.27,OECD
China,1977,total_fertility_rate,%,2.84,OECD
India,1977,total_fertility_rate,%,5.01,OECD
Indonesia,1977,total_fertility_rate,%,4.81,OECD
Peru,1977,total_fertility_rate,%,5.44,OECD
South Africa,1977,total_fertility_rate,%,4.94,OECD
Thailand,1977,total_fertility_rate,%,3.87,OECD
Argentina,1977,total_fertility_rate,%,3.36,OECD
Saudi Arabia,1977,total_fertility_rate,%,7.3,OECD
Bulgaria,1977,total_fertility_rate,%,2.21,OECD
Croatia,1977,total_fertility_rate,%,1.91,OECD
EU-27 average,1977,total_fertility_rate,%,2.09,OECD
Australia,1978,total_fertility_rate,%,1.95,OECD
Austria,1978,total_fertility_rate,%,1.6,OECD
Belgium,1978,total_fertility_rate,%,1.69,OECD
Canada,1978,total_fertility_rate,%,1.7,OECD
Chile,1978,total_fertility_rate,%,2.89,OECD
Colombia,1978,total_fertility_rate,%,4.0,OECD
Costa Rica,1978,total_fertility_rate,%,3.66,OECD
Czechia,1978,total_fertility_rate,%,2.32,OECD
Denmark,1978,total_fertility_rate,%,1.67,OECD
Estonia,1978,total_fertility_rate,%,2.02,OECD
Finland,1978,total_fertility_rate,%,1.65,OECD
France,1978,total_fertility_rate,%,1.82,OECD
Germany,1978,total_fertility_rate,%,1.5,OECD
Greece,1978,total_fertility_rate,%,2.28,OECD
Hungary,1978,total_fertility_rate,%,2.08,OECD
Iceland,1978,total_fertility_rate,%,2.35,OECD
Ireland,1978,total_fertility_rate,%,3.24,OECD
Italy,1978,total_fertility_rate,%,1.87,OECD
Japan,1978,total_fertility_rate,%,1.79,OECD
Korea,1978,total_fertility_rate,%,2.64,OECD
Latvia,1978,total_fertility_rate,%,1.87,OECD
Lithuania,1978,total_fertility_rate,%,2.08,OECD
Luxembourg,1978,total_fertility_rate,%,1.47,OECD
Mexico,1978,total_fertility_rate,%,5.32,OECD
Netherlands,1978,total_fertility_rate,%,1.58,OECD
New Zealand,1978,total_fertility_rate,%,2.07,OECD
Norway,1978,total_fertility_rate,%,1.77,OECD
Poland,1978,total_fertility_rate,%,2.21,OECD
Portugal,1978,total_fertility_rate,%,2.28,OECD
Slovak Republic,1978,total_fertility_rate,%,2.45,OECD
Slovenia,1978,total_fertility_rate,%,2.19,OECD
Spain,1978,total_fertility_rate,%,2.55,OECD
Sweden,1978,total_fertility_rate,%,1.6,OECD
Switzerland,1978,total_fertility_rate,%,1.51,OECD
Türkiye,1978,total_fertility_rate,%,5.05,OECD
United States,1978,total_fertility_rate,%,1.76,OECD
OECD-38,1978,total_fertility_rate,%,2.3,OECD
Brazil,1978,total_fertility_rate,%,4.2,OECD
China,1978,total_fertility_rate,%,2.72,OECD
India,1978,total_fertility_rate,%,4.89,OECD
Indonesia,1978,total_fertility_rate,%,4.73,OECD
Peru,1978,total_fertility_rate,%,5.31,OECD
South Africa,1978,total_fertility_rate,%,4.85,OECD
Thailand,1978,total_fertility_rate,%,3.62,OECD
Argentina,1978,total_fertility_rate,%,3.36,OECD
Saudi Arabia,1978,total_fertility_rate,%,7.26,OECD
Bulgaria,1978,total_fertility_rate,%,2.15,OECD
Croatia,1978,total_fertility_rate,%,1.92,OECD
EU-27 average,1978,total_fertility_rate,%,2.05,OECD
Australia,1979,total_fertility_rate,%,1.91,OECD
Austria,1979,total_fertility_rate,%,1.6,OECD
Belgium,1979,total_fertility_rate,%,1.69,OECD
Canada,1979,total_fertility_rate,%,1.7,OECD
Chile,1979,total_fertility_rate,%,2.81,OECD
Colombia,1979,total_fertility_rate,%,3.89,OECD
Costa Rica,1979,total_fertility_rate,%,3.65,OECD
Czechia,1979,total_fertility_rate,%,2.29,OECD
Denmark,1979,total_fertility_rate,%,1.6,OECD
Estonia,1979,total_fertility_rate,%,2.0,OECD
Finland,1979,total_fertility_rate,%,1.64,OECD
France,1979,total_fertility_rate,%,1.86,OECD
Germany,1979,total_fertility_rate,%,1.5,OECD
Greece,1979,total_fertility_rate,%,2.26,OECD
Hungary,1979,total_fertility_rate,%,2.02,OECD
Iceland,1979,total_fertility_rate,%,2.49,OECD
Ireland,1979,total_fertility_rate,%,3.23,OECD
Italy,1979,total_fertility_rate,%,1.76,OECD
Japan,1979,total_fertility_rate,%,1.77,OECD
Korea,1979,total_fertility_rate,%,2.9,OECD
Latvia,1979,total_fertility_rate,%,1.87,OECD
Lithuania,1979,total_fertility_rate,%,2.05,OECD
Luxembourg,1979,total_fertility_rate,%,1.47,OECD
Mexico,1979,total_fertility_rate,%,5.06,OECD
Netherlands,1979,total_fertility_rate,%,1.56,OECD
New Zealand,1979,total_fertility_rate,%,2.12,OECD
Norway,1979,total_fertility_rate,%,1.75,OECD
Poland,1979,total_fertility_rate,%,2.28,OECD
Portugal,1979,total_fertility_rate,%,2.17,OECD
Slovak Republic,1979,total_fertility_rate,%,2.44,OECD
Slovenia,1979,total_fertility_rate,%,2.22,OECD
Spain,1979,total_fertility_rate,%,2.37,OECD
Sweden,1979,total_fertility_rate,%,1.66,OECD
Switzerland,1979,total_fertility_rate,%,1.52,OECD
Türkiye,1979,total_fertility_rate,%,4.84,OECD
United States,1979,total_fertility_rate,%,1.81,OECD
OECD-38,1979,total_fertility_rate,%,2.28,OECD
Brazil,1979,total_fertility_rate,%,4.12,OECD
China,1979,total_fertility_rate,%,2.75,OECD
India,1979,total_fertility_rate,%,4.81,OECD
Indonesia,1979,total_fertility_rate,%,4.63,OECD
Peru,1979,total_fertility_rate,%,5.17,OECD
South Africa,1979,total_fertility_rate,%,4.82,OECD
Thailand,1979,total_fertility_rate,%,3.45,OECD
Argentina,1979,total_fertility_rate,%,3.34,OECD
Saudi Arabia,1979,total_fertility_rate,%,7.23,OECD
Bulgaria,1979,total_fertility_rate,%,2.16,OECD
Croatia,1979,total_fertility_rate,%,1.94,OECD
EU-27 average,1979,total_fertility_rate,%,2.03,OECD
Australia,1980,total_fertility_rate,%,1.89,OECD
Austria,1980,total_fertility_rate,%,1.65,OECD
Belgium,1980,total_fertility_rate,%,1.68,OECD
Canada,1980,total_fertility_rate,%,1.68,OECD
Chile,1980,total_fertility_rate,%,2.74,OECD
Colombia,1980,total_fertility_rate,%,3.8,OECD
Costa Rica,1980,total_fertility_rate,%,3.58,OECD
Czechia,1980,total_fertility_rate,%,2.1,OECD
Denmark,1980,total_fertility_rate,%,1.55,OECD
Estonia,1980,total_fertility_rate,%,2.02,OECD
Finland,1980,total_fertility_rate,%,1.63,OECD
France,1980,total_fertility_rate,%,1.95,OECD
Germany,1980,total_fertility_rate,%,1.56,OECD
Greece,1980,total_fertility_rate,%,2.23,OECD
Hungary,1980,total_fertility_rate,%,1.92,OECD
Iceland,1980,total_fertility_rate,%,2.48,OECD
Ireland,1980,total_fertility_rate,%,3.23,OECD
Italy,1980,total_fertility_rate,%,1.68,OECD
Japan,1980,total_fertility_rate,%,1.75,OECD
Korea,1980,total_fertility_rate,%,2.82,OECD
Latvia,1980,total_fertility_rate,%,1.9,OECD
Lithuania,1980,total_fertility_rate,%,1.99,OECD
Luxembourg,1980,total_fertility_rate,%,1.5,OECD
Mexico,1980,total_fertility_rate,%,4.84,OECD
Netherlands,1980,total_fertility_rate,%,1.6,OECD
New Zealand,1980,total_fertility_rate,%,2.03,OECD
Norway,1980,total_fertility_rate,%,1.72,OECD
Poland,1980,total_fertility_rate,%,2.28,OECD
Portugal,1980,total_fertility_rate,%,2.18,OECD
Slovak Republic,1980,total_fertility_rate,%,2.31,OECD
Slovenia,1980,total_fertility_rate,%,2.11,OECD
Spain,1980,total_fertility_rate,%,2.22,OECD
Sweden,1980,total_fertility_rate,%,1.68,OECD
Switzerland,1980,total_fertility_rate,%,1.55,OECD
Türkiye,1980,total_fertility_rate,%,4.63,OECD
United States,1980,total_fertility_rate,%,1.84,OECD
OECD-38,1980,total_fertility_rate,%,2.25,OECD
Brazil,1980,total_fertility_rate,%,4.04,OECD
China,1980,total_fertility_rate,%,2.74,OECD
India,1980,total_fertility_rate,%,4.78,OECD
Indonesia,1980,total_fertility_rate,%,4.5,OECD
Peru,1980,total_fertility_rate,%,5.04,OECD
South Africa,1980,total_fertility_rate,%,4.78,OECD
Thailand,1980,total_fertility_rate,%,3.29,OECD
Argentina,1980,total_fertility_rate,%,3.3,OECD
Saudi Arabia,1980,total_fertility_rate,%,7.15,OECD
Bulgaria,1980,total_fertility_rate,%,2.05,OECD
Croatia,1980,total_fertility_rate,%,1.92,OECD
EU-27 average,1980,total_fertility_rate,%,2.0,OECD
Australia,1981,total_fertility_rate,%,1.94,OECD
Austria,1981,total_fertility_rate,%,1.67,OECD
Belgium,1981,total_fertility_rate,%,1.66,OECD
Canada,1981,total_fertility_rate,%,1.65,OECD
Chile,1981,total_fertility_rate,%,2.69,OECD
Colombia,1981,total_fertility_rate,%,3.71,OECD
Costa Rica,1981,total_fertility_rate,%,3.56,OECD
